instance,best_known,MILP_value,MILP_time,MIQP_value,MIQP_time,QUBO_value,QUBO_time,AMFD_value,AMFD_time
G1,11624,10306.0,3.63255,,,11598.0,14.09104,11624.0,2.43672
G2,11620,10234.0,3.67296,,,11599.0,9.1237,11620.0,2.25853
G3,11622,10271.0,9.9496,,,11612.0,7.67508,11622.0,0.99335
G4,11646,10155.0,10.85421,7808.0,14.10682,11641.0,12.01137,11646.0,2.07407
G5,11631,10177.0,3.11749,7603.0,15.45714,11631.0,10.87756,11631.0,2.22324
G6,2178,1445.0,1.91798,689.0,13.78269,2178.0,10.67817,2178.0,4.74731
G8,2005,1366.0,1.85673,772.0,15.23962,2005.0,6.04363,2005.0,3.77856
G10,2000,1285.0,3.16365,1112.0,14.92941,1979.0,8.69347,2000.0,2.73729
G12,556,556.0,6.03095,556.0,12.82496,556.0,4.04895,556.0,4.04306
G14,3064,2825.0,7.7077,2859.0,14.97564,3010.0,8.80776,3063.0,7.85685
G16,3052,2871.0,9.27563,2766.0,6.24814,2999.0,0.02148,3052.0,7.9359
G18,992,699.0,10.27484,726.0,14.99891,936.0,0.02282,989.0,7.8233
G20,941,665.0,9.13411,645.0,12.1841,895.0,14.39891,941.0,2.1831
G22,13359,11402.0,36.25762,12178.0,37.00297,13205.0,0.04547,13359.0,18.09377
G24,13337,11414.0,35.63092,12082.0,36.05554,13202.0,0.03623,13337.0,18.08769
G26,13328,12137.0,21.06157,11878.0,36.17329,13136.0,0.02425,13326.0,5.41456
G28,3298,2242.0,34.22111,2230.0,34.41623,3121.0,0.04056,3293.0,17.9956
G30,3413,2224.0,33.55824,2311.0,35.11462,3255.0,0.03926,3412.0,18.17281
G32,1410,1410.0,35.5765,1404.0,29.03384,1410.0,19.06087,1406.0,3.83432
G34,1384,1384.0,19.10084,1372.0,25.91398,1384.0,28.72493,1380.0,5.40036
G36,7680,6939.0,13.38979,7244.0,34.15627,7556.0,27.15358,7672.0,18.24947
G38,7688,7408.0,30.61108,7287.0,32.36752,7560.0,28.14939,7675.0,18.25644
G40,2400,1945.0,34.25236,1357.0,15.37919,2268.0,16.7437,2400.0,3.87997
G42,2481,1891.0,31.19229,1841.0,36.39176,2344.0,19.74899,2475.0,18.25204
G44,6650,6033.0,16.02936,5973.0,17.859,6613.0,0.02522,6650.0,2.92804
G46,6649,6074.0,15.98535,5950.0,15.99891,6587.0,0.02301,6649.0,2.77853
G48,6000,6000.0,0.09452,6000.0,0.74289,6000.0,0.43887,6000.0,1.91417
G50,5880,5880.0,0.09089,5862.0,61.95232,5880.0,0.03965,5880.0,1.9215
G52,3851,3550.0,8.9759,3516.0,8.10157,3776.0,0.0188,3848.0,9.984
G54,3852,3520.0,8.26441,3463.0,8.2745,3792.0,20.34896,3850.0,10.06617
G56,4017,3735.0,125.61901,3564.0,273.87446,3864.0,265.77158,4000.0,136.48167
G58,19293,18680.0,174.63684,18266.0,250.66729,19032.0,153.14734,19261.0,136.50004
G60,14190,13829.0,76.29693,13145.0,593.37545,13957.0,839.56052,14183.0,179.00869
G62,4870,4870.0,119.70658,4858.0,604.85117,4870.0,161.46421,4838.0,425.34893
G64,8751,5710.0,6.05285,7263.0,829.38016,8257.0,851.8308,8709.0,179.05497
G66,6364,6364.0,925.27439,6360.0,1176.09165,6364.0,280.10467,6314.0,335.89843
G70,9591,9471.0,38.57395,9579.0,1956.09705,9584.0,1568.04259,9538.0,1039.20571
G72,7006,7004.0,822.92469,6996.0,2095.42395,7004.0,264.03248,6956.0,1038.44327
G77,9938,9938.0,2015.33829,9936.0,1958.81064,9940.0,509.2128,9876.0,1289.68293
G81,14048,14048.0,3802.51307,14048.0,6770.32719,14048.0,1438.882,13960.0,8793.18777
