instance,process,step_scale,time,value,eta,zeta,constraint satisfaction,constraint coeff,best known solution
G1,tuning,2,0.85266,11623.0,0.1,2.0,True,,11624
G1,tuned,2,3.23011,11624.0,0.06,6.0,True,,11624
G1,tuned,5,2.43672,11624.0,0.0525,6.0,True,,11624
G1,tuned,10,2.82623,11624.0,0.0525,6.0,True,,11624
G1,tuned,20,3.99304,11624.0,0.06,6.0,True,,11624
G1,tuned,50,7.77162,11624.0,0.02,10.0,True,,11624
G2,tuning,2,0.91626,11617.0,0.01,5.0,True,,11620
G2,tuned,2,1.79258,11617.0,0.125,3.5,True,,11620
G2,tuned,5,2.25853,11620.0,0.125,3.5,True,,11620
G2,tuned,10,2.87379,11620.0,0.05,5.0,True,,11620
G2,tuned,20,4.07939,11617.0,0.2,2.0,True,,11620
G2,tuned,50,7.85823,11620.0,0.15,2.0,True,,11620
G3,tuning,2,0.99335,11622.0,0.1,2.0,True,,11622
G3,tuned,2,1.93334,11622.0,0.075,2.0,True,,11622
G3,tuned,5,2.3117,11622.0,0.1,2.0,True,,11622
G3,tuned,10,2.98168,11622.0,0.05,5.0,True,,11622
G3,tuned,20,4.23539,11622.0,0.05,3.5,True,,11622
G3,tuned,50,8.07309,11622.0,0.05,5.0,True,,11622
G4,tuning,2,1.04478,11641.0,0.1,2.0,True,,11646
G4,tuned,2,2.07407,11646.0,0.05,1.0,True,,11646
G4,tuned,5,2.62712,11646.0,0.035,1.0,True,,11646
G4,tuned,10,3.09587,11646.0,0.075,2.0,True,,11646
G4,tuned,20,4.45344,11646.0,0.035,1.0,True,,11646
G4,tuned,50,8.31726,11646.0,0.035,1.0,True,,11646
G5,tuning,2,1.13958,11626.0,0.2,2.0,True,,11631
G5,tuned,2,2.22324,11631.0,0.15,0.5,True,,11631
G5,tuned,5,2.61352,11631.0,0.2,2.0,True,,11631
G5,tuned,10,3.22313,11631.0,0.125,3.5,True,,11631
G5,tuned,20,4.67891,11631.0,0.2,2.0,True,,11631
G5,tuned,50,8.42335,11631.0,0.2,2.0,True,,11631
G6,tuning,2,1.2153,2135.0,0.1,0.0,True,,2178
G6,tuned,2,2.41439,2161.0,0.0125,15.0,True,,2178
G6,tuned,5,2.7834,2168.0,0.0125,15.0,True,,2178
G6,tuned,10,3.54983,2175.0,0.0125,15.0,True,,2178
G6,tuned,20,4.74731,2178.0,0.06,5.0,True,,2178
G6,tuned,50,8.42813,2178.0,0.11,5.5,True,,2178
G8,tuning,2,1.355,1979.0,0.1,2.0,True,,2005
G8,tuned,2,2.70342,1997.0,0.15,3.5,True,,2005
G8,tuned,5,3.10127,2000.0,0.1,5.0,True,,2005
G8,tuned,10,3.77856,2005.0,0.1,5.0,True,,2005
G8,tuned,20,4.96865,2004.0,0.15,5.0,True,,2005
G8,tuned,50,8.81857,2005.0,0.15,3.5,True,,2005
G10,tuning,2,0.86379,1962.0,0.1,5.0,True,,2000
G10,tuned,2,1.83922,1996.0,0.051,7.5,True,,2000
