instance,best_known,MILP_time,MILP_value,MIQP_time,MIQP_value,QUBO_time,QUBO_value,AMFD_time,AMFD_value
bur26a,5426670,0.00735,6147379.0,0.00191,6147379.0,0.79764,5599040.0,0.99195,5644287.0
bur26a,5426670,1.30313,6053533.0,4.33552,5728600.0,2.58549,5556103.0,2.30475,5497748.0
bur26a,5426670,2.88773,5724504.0,4.46593,5648700.0,8.90357,5533873.0,2.43929,5545402.0
bur26a,5426670,4.30197,5674468.0,10.18173,5533878.0,9.8483,5529343.0,2.77793,5505928.0
bur26a,5426670,7.22629,5646231.0,12.11677,5528569.0,9.9063,5514267.0,3.86285,5484383.0
bur26a,5426670,13.27614,5621263.0,14.12883,5528569.0,9.95943,5500764.0,7.0247,5496503.0
bur26a,5426670,14.37248,5611826.0,,,14.24913,5500764.0,,
chr25a,3796,0.00182,16328.0,0.39436,15584.0,0.13313,7183.99,0.96907,6256.0
chr25a,3796,0.1173,14196.0,1.64256,8518.0,2.67167,6917.99,1.98716,6256.0
chr25a,3796,0.17476,13548.0,3.14629,6442.0,3.32201,6747.99,2.1855,5296.0
chr25a,3796,2.68887,8384.0,4.46878,4692.0,4.03037,6259.99,2.72398,4404.0
chr25a,3796,5.39592,6500.0,6.0546,4676.0,4.70376,5787.99,3.71599,4352.0
chr25a,3796,8.81529,5516.0,11.22142,4492.0,5.90685,5129.99,6.61807,3832.0
chr25a,3796,13.49853,5000.0,13.38198,4492.0,13.48174,5129.99,,
esc32a,130,0.00591,428.0,0.00163,428.0,0.42818,212.0,1.15346,166.0
esc32a,130,0.27193,214.0,3.20296,282.0,6.62483,190.0,2.28268,146.0
esc32a,130,0.56589,184.0,8.15516,168.0,8.98245,186.0,2.70538,140.0
esc32a,130,1.53653,176.0,10.42951,164.0,14.74273,180.0,3.52068,134.0
esc32a,130,4.51909,172.0,14.10018,158.0,15.99315,174.0,5.13766,132.0
esc32a,130,8.54903,168.0,18.03058,152.0,19.71139,162.0,9.91922,130.0
esc32a,130,20.29861,150.0,20.11227,152.0,20.65978,162.0,,
esc64a,116,0.01945,290.0,0.00551,290.0,2.19812,132.0,2.34777,116.0
esc64a,116,1.04067,230.0,3.72342,174.0,71.86849,132.0,4.4901,116.0
esc64a,116,1.51073,148.0,4.80891,132.0,,,6.29905,116.0
esc64a,116,2.33904,136.0,5.56908,122.0,,,9.58199,116.0
