instance,process,step_scale,time,value,eta,zeta,constraint satisfaction,constraint coeff
DSJC1000.1,tuning,2,235.51582,30,0.05,0.0,True,1
DSJC1000.1,tuning,2,255.64891,29,0.002,0.0,True,1
DSJC1000.1,tuning,2,275.19305,28,0.002,0.0,True,1
DSJC1000.1,tuning,2,293.40441,27,0.002,0.0,True,1
DSJC1000.1,tuning,2,310.93684,26,0.002,1.0,True,1
DSJC1000.1,tuning,2,327.86334,25,0.002,2.0,True,1
DSJC1000.1,tuning,2,343.63841,24,0.002,2.0,True,1
DSJC1000.1,tuning,2,358.83619,23,0.002,10.0,True,1
DSJC1000.1,tuning,2,373.32688,22,0.005,5.0,True,1
DSJC1000.1,tuning,2,387.21059,21,0.002,0.0,False,1
DSJC1000.1,tuning,2,387.35237,22,0.005,5.0,True,1
DSJC1000.1,tuned,2,417.37227,21,0.075,3.0,True,1
DSJC1000.1,tuning,2,235.93168,30,0.05,0.0,True,1
DSJC1000.1,tuning,2,255.4565,29,0.002,0.0,True,1
DSJC1000.1,tuning,2,274.77465,28,0.002,0.0,True,1
DSJC1000.1,tuning,2,292.90907,27,0.002,0.0,True,1
DSJC1000.1,tuning,2,310.33252,26,0.002,1.0,True,1
DSJC1000.1,tuning,2,327.21297,25,0.002,2.0,True,1
DSJC1000.1,tuning,2,343.01567,24,0.002,2.0,True,1
DSJC1000.1,tuning,2,358.2606,23,0.002,10.0,True,1
DSJC1000.1,tuning,2,372.80318,22,0.005,5.0,True,1
DSJC1000.1,tuning,2,386.73654,21,0.002,0.0,False,1
DSJC1000.1,tuning,2,386.87832,22,0.005,5.0,True,1
DSJC1000.1,tuned,5,460.49338,21,0.05,3.5,True,1
DSJC1000.1,tuning,2,235.59637,30,0.05,0.0,True,1
DSJC1000.1,tuning,2,255.9846,29,0.002,0.0,True,1
DSJC1000.1,tuning,2,275.37873,28,0.002,0.0,True,1
DSJC1000.1,tuning,2,293.62858,27,0.002,0.0,True,1
DSJC1000.1,tuning,2,311.16283,26,0.002,1.0,True,1
DSJC1000.1,tuning,2,327.91314,25,0.002,2.0,True,1
DSJC1000.1,tuning,2,343.7046,24,0.002,2.0,True,1
DSJC1000.1,tuning,2,358.94001,23,0.002,10.0,True,1
DSJC1000.1,tuning,2,373.44537,22,0.005,5.0,True,1
DSJC1000.1,tuning,2,387.38882,21,0.002,0.0,False,1
DSJC1000.1,tuning,2,387.53029,22,0.005,5.0,True,1
DSJC1000.1,tuned,10,534.33233,21,0.05,5.0,True,1
DSJC1000.1,tuning,2,236.14453,30,0.05,0.0,True,1
