instance,process,step_scale,time,value,eta,zeta,constraint satisfaction,constraint coeff
G1,tuning,2,1.57085,-11623.0,0.1,2.0,True,
G1,tuned,2,3.23011,-11624.0,0.06,6.0,True,
G1,tuning,2,1.02567,-11623.0,0.1,2.0,True,
G1,tuned,5,2.43672,-11624.0,0.0525,6.0,True,
G1,tuning,2,1.01011,-11623.0,0.1,2.0,True,
G1,tuned,10,2.82623,-11624.0,0.0525,6.0,True,
G1,tuning,2,0.85266,-11623.0,0.1,2.0,True,
G1,tuned,20,3.99304,-11624.0,0.06,6.0,True,
G1,tuning,2,0.86317,-11623.0,0.1,2.0,True,
G1,tuned,50,7.77162,-11624.0,0.02,10.0,True,
G10,tuning,2,0.86847,-1962.0,0.1,5.0,True,
G10,tuned,2,1.83922,-1996.0,0.051,7.5,True,
G10,tuning,2,0.86379,-1962.0,0.1,5.0,True,
G10,tuned,5,2.17614,-1997.0,0.2,3.5,True,
G10,tuning,2,0.90195,-1962.0,0.1,5.0,True,
G10,tuned,10,2.73729,-2000.0,0.051,7.5,True,
G10,tuning,2,0.86742,-1962.0,0.1,5.0,True,
G10,tuned,20,3.94944,-1999.0,0.15,3.5,True,
G10,tuning,2,0.90365,-1962.0,0.1,5.0,True,
G10,tuned,50,7.72906,-2000.0,0.2,3.5,True,
G12,tuning,2,0.86786,-550.0,0.2,5.0,True,
G12,tuned,2,1.70329,-554.0,0.2,5.0,True,
G12,tuning,2,0.84185,-550.0,0.2,5.0,True,
G12,tuned,5,2.03218,-554.0,0.125,5.0,True,
G12,tuning,2,0.84162,-550.0,0.2,5.0,True,
G12,tuned,10,2.67424,-554.0,0.05,10.0,True,
G12,tuning,2,0.88354,-550.0,0.2,5.0,True,
G12,tuned,20,4.04306,-556.0,0.125,5.0,True,
G12,tuning,2,0.95847,-550.0,0.2,5.0,True,
G12,tuned,50,7.89377,-556.0,0.125,5.0,True,
G14,tuning,2,0.89609,-3048.0,0.2,2.0,True,
G14,tuned,2,1.75663,-3057.0,0.125,3.5,True,
G14,tuning,2,0.96126,-3048.0,0.2,2.0,True,
G14,tuned,5,2.19618,-3056.0,0.125,5.0,True,
G14,tuning,2,1.00111,-3048.0,0.2,2.0,True,
G14,tuned,10,2.86045,-3058.0,0.125,6.0,True,
G14,tuning,2,0.89065,-3048.0,0.2,2.0,True,
G14,tuned,20,4.09922,-3062.0,0.1,5.0,True,
G14,tuning,2,0.88563,-3048.0,0.2,2.0,True,
G14,tuned,50,7.85685,-3063.0,0.075,7.5,True,
G16,tuning,2,0.89333,-3032.0,0.2,5.0,True,
G16,tuned,2,1.87597,-3039.0,0.02,10.0,True,
G16,tuning,2,0.89689,-3032.0,0.2,5.0,True,
G16,tuned,5,2.19457,-3047.0,0.125,5.0,True,
G16,tuning,2,0.89903,-3032.0,0.2,5.0,True,
G16,tuned,10,2.76017,-3047.0,0.2,3.0,True,
G16,tuning,2,0.90184,-3032.0,0.2,5.0,True,
G16,tuned,20,4.09918,-3049.0,0.11,6.0,True,
G16,tuning,2,0.90599,-3032.0,0.2,5.0,True,
G16,tuned,50,7.9359,-3052.0,0.2,5.0,True,
G18,tuning,2,0.90561,-955.0,0.2,5.0,True,
G18,tuned,2,1.77046,-980.0,0.125,6.0,True,
G18,tuning,2,0.91287,-955.0,0.2,5.0,True,
G18,tuned,5,2.15072,-982.0,0.2,3.5,True,
G18,tuning,2,0.91208,-955.0,0.2,5.0,True,
G18,tuned,10,2.84569,-982.0,0.2,3.5,True,
G18,tuning,2,1.09191,-955.0,0.2,5.0,True,
G18,tuned,20,4.26506,-988.0,0.2,5.0,True,
G18,tuning,2,0.91533,-955.0,0.2,5.0,True,
G18,tuned,50,7.8233,-989.0,0.2,5.0,True,
G2,tuning,2,0.91626,-11617.0,0.01,5.0,True,
G2,tuned,2,1.79258,-11617.0,0.125,3.5,True,
G2,tuning,2,0.95323,-11617.0,0.01,5.0,True,
G2,tuned,5,2.25853,-11620.0,0.125,3.5,True,
G2,tuning,2,0.91936,-11617.0,0.01,5.0,True,
G2,tuned,10,2.87379,-11620.0,0.05,5.0,True,
G2,tuning,2,0.92962,-11617.0,0.01,5.0,True,
G2,tuned,20,4.07939,-11617.0,0.2,2.0,True,
G2,tuning,2,0.98059,-11617.0,0.01,5.0,True,
G2,tuned,50,7.85823,-11620.0,0.15,2.0,True,
G20,tuning,2,0.98163,-903.0,0.2,5.0,True,
G20,tuned,2,1.85463,-940.0,0.15,5.0,True,
G20,tuning,2,0.92796,-903.0,0.2,5.0,True,
G20,tuned,5,2.1831,-941.0,0.15,5.0,True,
G20,tuning,2,0.92466,-903.0,0.2,5.0,True,
G20,tuned,10,2.8168,-936.0,0.125,5.0,True,
G20,tuning,2,1.08494,-903.0,0.2,5.0,True,
G20,tuned,20,4.26497,-940.0,0.2,5.0,True,
G20,tuning,2,0.95833,-903.0,0.2,5.0,True,
G20,tuned,50,7.87305,-939.0,0.15,5.0,True,
G22,tuning,2,1.95688,-13357.0,0.1,5.0,True,
G22,tuned,2,3.83818,-13358.0,0.1,5.0,True,
G22,tuning,2,1.40387,-13357.0,0.1,5.0,True,
G22,tuned,5,3.71535,-13358.0,0.1,5.0,True,
G22,tuning,2,1.3863,-13357.0,0.1,5.0,True,
G22,tuned,10,5.43838,-13358.0,0.075,5.0,True,
G22,tuning,2,1.42549,-13357.0,0.1,5.0,True,
G22,tuned,20,8.46453,-13358.0,0.05,5.0,True,
G22,tuning,2,1.39374,-13357.0,0.1,5.0,True,
G22,tuned,50,18.09377,-13359.0,0.125,5.0,True,
G24,tuning,2,1.45321,-13320.0,0.1,5.0,True,
G24,tuned,2,2.85987,-13334.0,0.15,3.0,True,
G24,tuning,2,1.55266,-13320.0,0.1,5.0,True,
G24,tuned,5,3.8273,-13335.0,0.075,5.5,True,
G24,tuning,2,1.37316,-13320.0,0.1,5.0,True,
G24,tuned,10,5.21946,-13335.0,0.15,3.0,True,
G24,tuning,2,1.50285,-13320.0,0.1,5.0,True,
G24,tuned,20,8.54444,-13336.0,0.075,5.5,True,
G24,tuning,2,1.42745,-13320.0,0.1,5.0,True,
G24,tuned,50,18.08769,-13337.0,0.2,5.0,True,
G26,tuning,2,1.39453,-13301.0,0.02,10.0,True,
G26,tuned,2,2.92689,-13324.0,0.125,3.0,True,
G26,tuning,2,1.51036,-13301.0,0.02,10.0,True,
G26,tuned,5,3.78863,-13324.0,0.06,6.0,True,
G26,tuning,2,1.53001,-13301.0,0.02,10.0,True,
G26,tuned,10,5.41456,-13326.0,0.125,5.5,True,
G26,tuning,2,1.37442,-13301.0,0.02,10.0,True,
G26,tuned,20,8.53332,-13326.0,0.02,10.0,True,
G26,tuning,2,1.4023,-13301.0,0.02,10.0,True,
G26,tuned,50,18.10607,-13326.0,0.1,2.0,True,
G28,tuning,2,1.38301,-3234.0,0.1,5.0,True,
G28,tuned,2,2.70645,-3283.0,0.2,3.5,True,
G28,tuning,2,1.39294,-3234.0,0.1,5.0,True,
G28,tuned,5,3.66442,-3289.0,0.2,3.5,True,
G28,tuning,2,1.47149,-3234.0,0.1,5.0,True,
G28,tuned,10,5.39941,-3292.0,0.1,5.0,True,
G28,tuning,2,1.40986,-3234.0,0.1,5.0,True,
G28,tuned,20,8.664,-3292.0,0.2,3.5,True,
G28,tuning,2,1.3611,-3234.0,0.1,5.0,True,
G28,tuned,50,17.9956,-3293.0,0.2,3.5,True,
G3,tuning,2,0.99561,-11622.0,0.1,2.0,True,
G3,tuned,2,1.93334,-11622.0,0.075,2.0,True,
G3,tuning,2,0.99335,-11622.0,0.1,2.0,True,
G3,tuned,5,2.3117,-11622.0,0.1,2.0,True,
G3,tuning,2,1.01005,-11622.0,0.1,2.0,True,
G3,tuned,10,2.98168,-11622.0,0.05,5.0,True,
G3,tuning,2,1.05097,-11622.0,0.1,2.0,True,
G3,tuned,20,4.23539,-11622.0,0.05,3.5,True,
G3,tuning,2,1.116,-11622.0,0.1,2.0,True,
G3,tuned,50,8.07309,-11622.0,0.05,5.0,True,
G30,tuning,2,1.44944,-3362.0,0.1,5.0,True,
G30,tuned,2,2.80131,-3392.0,0.11,5.0,True,
G30,tuning,2,1.48034,-3362.0,0.1,5.0,True,
G30,tuned,5,3.76888,-3397.0,0.11,5.0,True,
G30,tuning,2,1.4369,-3362.0,0.1,5.0,True,
G30,tuned,10,5.36895,-3411.0,0.2,3.5,True,
G30,tuning,2,1.44451,-3362.0,0.1,5.0,True,
G30,tuned,20,8.69354,-3409.0,0.11,5.0,True,
G30,tuning,2,1.45587,-3362.0,0.1,5.0,True,
G30,tuned,50,18.17281,-3412.0,0.1,5.0,True,
G32,tuning,2,1.72861,-1382.0,0.05,10.0,True,
G32,tuned,2,3.07972,-1402.0,0.15,5.0,True,
G32,tuning,2,1.53503,-1382.0,0.05,10.0,True,
G32,tuned,5,3.83432,-1406.0,0.05,10.0,True,
G32,tuning,2,1.43262,-1382.0,0.05,10.0,True,
G32,tuned,10,5.3315,-1406.0,0.2,5.0,True,
G32,tuning,2,1.50949,-1382.0,0.05,10.0,True,
G32,tuned,20,8.64629,-1404.0,0.2,5.0,True,
G32,tuning,2,1.54048,-1382.0,0.05,10.0,True,
G32,tuned,50,18.05676,-1402.0,0.05,10.0,True,
G34,tuning,2,1.49288,-1366.0,0.05,10.0,True,
G34,tuned,2,2.86984,-1376.0,0.2,5.0,True,
G34,tuning,2,1.4986,-1366.0,0.05,10.0,True,
G34,tuned,5,3.89172,-1376.0,0.2,5.0,True,
G34,tuning,2,1.44721,-1366.0,0.05,10.0,True,
G34,tuned,10,5.40036,-1380.0,0.2,5.0,True,
G34,tuning,2,1.45733,-1366.0,0.05,10.0,True,
G34,tuned,20,8.63687,-1378.0,0.125,6.0,True,
G34,tuning,2,1.54295,-1366.0,0.05,10.0,True,
G34,tuned,50,18.16093,-1378.0,0.2,5.0,True,
G36,tuning,2,1.57657,-7635.0,0.2,5.0,True,
G36,tuned,2,2.96587,-7654.0,0.15,3.5,True,
G36,tuning,2,1.4921,-7635.0,0.2,5.0,True,
G36,tuned,5,3.83751,-7658.0,0.2,5.0,True,
G36,tuning,2,1.46809,-7635.0,0.2,5.0,True,
G36,tuned,10,5.38107,-7669.0,0.2,5.0,True,
G36,tuning,2,1.45207,-7635.0,0.2,5.0,True,
G36,tuned,20,8.61304,-7668.0,0.2,5.0,True,
G36,tuning,2,1.47084,-7635.0,0.2,5.0,True,
G36,tuned,50,18.24947,-7672.0,0.15,3.5,True,
G38,tuning,2,1.59803,-7652.0,0.05,10.0,True,
G38,tuned,2,2.99468,-7665.0,0.06,7.5,True,
G38,tuning,2,1.46032,-7652.0,0.05,10.0,True,
G38,tuned,5,3.83041,-7670.0,0.075,5.0,True,
G38,tuning,2,1.43865,-7652.0,0.05,10.0,True,
G38,tuned,10,5.37427,-7670.0,0.075,7.5,True,
G38,tuning,2,1.57532,-7652.0,0.05,10.0,True,
G38,tuned,20,8.87791,-7672.0,0.05,7.5,True,
G38,tuning,2,1.4713,-7652.0,0.05,10.0,True,
G38,tuned,50,18.25644,-7675.0,0.075,7.5,True,
G4,tuning,2,1.05147,-11641.0,0.1,2.0,True,
G4,tuned,2,2.07407,-11646.0,0.05,1.0,True,
G4,tuning,2,1.04478,-11641.0,0.1,2.0,True,
G4,tuned,5,2.62712,-11646.0,0.035,1.0,True,
G4,tuning,2,1.05813,-11641.0,0.1,2.0,True,
G4,tuned,10,3.09587,-11646.0,0.075,2.0,True,
G4,tuning,2,1.05092,-11641.0,0.1,2.0,True,
G4,tuned,20,4.45344,-11646.0,0.035,1.0,True,
G4,tuning,2,1.20768,-11641.0,0.1,2.0,True,
G4,tuned,50,8.31726,-11646.0,0.035,1.0,True,
G40,tuning,2,1.54728,-2344.0,0.2,5.0,True,
G40,tuned,2,2.97974,-2372.0,0.015,15.0,True,
G40,tuning,2,1.49108,-2344.0,0.2,5.0,True,
G40,tuned,5,3.87997,-2400.0,0.06,7.5,True,
G40,tuning,2,1.52573,-2344.0,0.2,5.0,True,
G40,tuned,10,5.47475,-2391.0,0.15,5.0,True,
G40,tuning,2,1.49224,-2344.0,0.2,5.0,True,
G40,tuned,20,8.64183,-2395.0,0.06,7.5,True,
G40,tuning,2,1.58123,-2344.0,0.2,5.0,True,
G40,tuned,50,18.40588,-2400.0,0.06,7.5,True,
G42,tuning,2,1.5168,-2412.0,0.2,5.0,True,
G42,tuned,2,3.1436,-2438.0,0.15,5.0,True,
G42,tuning,2,1.67569,-2412.0,0.2,5.0,True,
G42,tuned,5,4.1203,-2464.0,0.15,5.0,True,
G42,tuning,2,1.50602,-2412.0,0.2,5.0,True,
G42,tuned,10,5.47203,-2469.0,0.15,5.0,True,
G42,tuning,2,1.67116,-2412.0,0.2,5.0,True,
G42,tuned,20,8.82375,-2468.0,0.15,5.0,True,
G42,tuning,2,1.52102,-2412.0,0.2,5.0,True,
G42,tuned,50,18.25204,-2475.0,0.15,5.0,True,
G44,tuning,2,1.67546,-6641.0,0.2,1.0,True,
G44,tuned,2,3.31995,-6649.0,0.2,2.0,True,
G44,tuning,2,1.2128,-6641.0,0.2,1.0,True,
G44,tuned,5,2.92804,-6650.0,0.2,3.0,True,
G44,tuning,2,1.17685,-6641.0,0.2,1.0,True,
G44,tuned,10,3.65044,-6650.0,0.2,2.0,True,
G44,tuning,2,1.18714,-6641.0,0.2,1.0,True,
G44,tuned,20,5.12226,-6650.0,0.15,3.0,True,
G44,tuning,2,1.17578,-6641.0,0.2,1.0,True,
G44,tuned,50,9.84288,-6650.0,0.15,3.0,True,
G46,tuning,2,1.17977,-6634.0,0.05,5.0,True,
G46,tuned,2,2.29908,-6646.0,0.125,2.5,True,
G46,tuning,2,1.18326,-6634.0,0.05,5.0,True,
G46,tuned,5,2.77853,-6649.0,0.11,3.5,True,
G46,tuning,2,1.24656,-6634.0,0.05,5.0,True,
G46,tuned,10,3.65372,-6647.0,0.1,2.0,True,
G46,tuning,2,1.26018,-6634.0,0.05,5.0,True,
G46,tuned,20,5.21402,-6649.0,0.125,3.5,True,
G46,tuning,2,1.17703,-6634.0,0.05,5.0,True,
G46,tuned,50,9.79738,-6649.0,0.125,3.5,True,
G48,tuning,2,2.56427,-6000.0,0.005,5.0,True,
G48,tuned,2,5.26304,-6000.0,0.005,20.0,True,
G48,tuning,2,1.93561,-6000.0,0.005,5.0,True,
G48,tuned,5,6.27649,-6000.0,0.005,5.0,True,
G48,tuning,2,1.91448,-6000.0,0.005,5.0,True,
G48,tuned,10,9.72795,-6000.0,0.005,5.0,True,
G48,tuning,2,1.94502,-6000.0,0.005,5.0,True,
G48,tuned,20,16.77592,-6000.0,0.005,5.0,True,
G48,tuning,2,1.91417,-6000.0,0.005,5.0,True,
G48,tuned,50,37.74188,-6000.0,0.005,5.0,True,
G5,tuning,2,1.1402,-11626.0,0.2,2.0,True,
G5,tuned,2,2.22324,-11631.0,0.15,0.5,True,
G5,tuning,2,1.13958,-11626.0,0.2,2.0,True,
G5,tuned,5,2.61352,-11631.0,0.2,2.0,True,
G5,tuning,2,1.14069,-11626.0,0.2,2.0,True,
G5,tuned,10,3.22313,-11631.0,0.125,3.5,True,
G5,tuning,2,1.31143,-11626.0,0.2,2.0,True,
G5,tuned,20,4.67891,-11631.0,0.2,2.0,True,
G5,tuning,2,1.15918,-11626.0,0.2,2.0,True,
G5,tuned,50,8.42335,-11631.0,0.2,2.0,True,
G50,tuning,2,2.00948,-5880.0,0.2,5.0,True,
G50,tuned,2,4.25778,-5880.0,0.2,5.0,True,
G50,tuning,2,1.93311,-5880.0,0.2,5.0,True,
G50,tuned,5,6.47489,-5880.0,0.2,5.0,True,
G50,tuning,2,1.9936,-5880.0,0.2,5.0,True,
G50,tuned,10,9.90908,-5880.0,0.11,5.5,True,
G50,tuning,2,1.95239,-5880.0,0.2,5.0,True,
G50,tuned,20,17.02844,-5880.0,0.11,5.5,True,
G50,tuning,2,1.9215,-5880.0,0.2,5.0,True,
G50,tuned,50,38.26384,-5880.0,0.2,5.0,True,
G52,tuning,2,1.24197,-3825.0,0.02,10.0,True,
G52,tuned,2,2.57085,-3842.0,0.15,5.0,True,
G52,tuning,2,1.53373,-3825.0,0.02,10.0,True,
G52,tuned,5,3.21124,-3847.0,0.035,7.5,True,
G52,tuning,2,1.23476,-3825.0,0.02,10.0,True,
G52,tuned,10,3.6792,-3844.0,0.06,7.5,True,
G52,tuning,2,1.22886,-3825.0,0.02,10.0,True,
G52,tuned,20,5.22955,-3844.0,0.0125,15.0,True,
G52,tuning,2,1.25561,-3825.0,0.02,10.0,True,
G52,tuned,50,9.984,-3848.0,0.15,5.0,True,
G54,tuning,2,1.24182,-3830.0,0.1,5.0,True,
G54,tuned,2,2.582,-3836.0,0.2,3.5,True,
G54,tuning,2,1.40432,-3830.0,0.1,5.0,True,
G54,tuned,5,3.08993,-3839.0,0.125,5.0,True,
G54,tuning,2,1.24103,-3830.0,0.1,5.0,True,
G54,tuned,10,3.67071,-3845.0,0.105,7.5,True,
G54,tuning,2,1.23416,-3830.0,0.1,5.0,True,
G54,tuned,20,5.24831,-3844.0,0.105,6.0,True,
G54,tuning,2,1.29706,-3830.0,0.1,5.0,True,
G54,tuned,50,10.06617,-3850.0,0.125,5.0,True,
G56,tuning,2,6.11621,-3947.0,0.2,5.0,True,
G56,tuned,2,12.71675,-3974.0,0.15,5.0,True,
G56,tuning,2,5.70515,-3947.0,0.2,5.0,True,
G56,tuned,5,19.71017,-3983.0,0.15,5.0,True,
G56,tuning,2,5.56432,-3947.0,0.2,5.0,True,
G56,tuned,10,32.46697,-3994.0,0.06,7.5,True,
G56,tuning,2,5.73758,-3947.0,0.2,5.0,True,
G56,tuned,20,58.63013,-3998.0,0.15,5.0,True,
G56,tuning,2,5.5649,-3947.0,0.2,5.0,True,
G56,tuned,50,136.48167,-4000.0,0.15,5.0,True,
G58,tuning,2,5.52338,-19185.0,0.2,5.0,True,
G58,tuned,2,11.83215,-19222.0,0.2,5.0,True,
G58,tuning,2,5.55244,-19185.0,0.2,5.0,True,
G58,tuned,5,19.46989,-19242.0,0.15,5.0,True,
G58,tuning,2,5.51148,-19185.0,0.2,5.0,True,
G58,tuned,10,32.43848,-19243.0,0.15,5.0,True,
G58,tuning,2,5.67105,-19185.0,0.2,5.0,True,
G58,tuned,20,58.61246,-19253.0,0.125,6.0,True,
G58,tuning,2,5.54868,-19185.0,0.2,5.0,True,
G58,tuned,50,136.50004,-19261.0,0.125,7.5,True,
G6,tuning,2,1.2153,-2135.0,0.1,0.0,True,
G6,tuned,2,2.41439,-2161.0,0.0125,15.0,True,
G6,tuning,2,1.22075,-2135.0,0.1,0.0,True,
G6,tuned,5,2.7834,-2168.0,0.0125,15.0,True,
G6,tuning,2,1.2196,-2135.0,0.1,0.0,True,
G6,tuned,10,3.54983,-2175.0,0.0125,15.0,True,
G6,tuning,2,1.22898,-2135.0,0.1,0.0,True,
G6,tuned,20,4.74731,-2178.0,0.06,5.0,True,
G6,tuning,2,1.30988,-2135.0,0.1,0.0,True,
G6,tuned,50,8.42813,-2178.0,0.11,5.5,True,
G60,tuning,2,14.26248,-14096.0,0.2,5.0,True,
G60,tuned,2,32.07933,-14166.0,0.06,7.5,True,
G60,tuning,2,13.75512,-14096.0,0.2,5.0,True,
G60,tuned,5,55.74553,-14168.0,0.15,5.0,True,
G60,tuning,2,13.75406,-14096.0,0.2,5.0,True,
G60,tuned,10,96.82844,-14174.0,0.15,5.0,True,
G60,tuning,2,13.74322,-14096.0,0.2,5.0,True,
G60,tuned,20,179.00869,-14183.0,0.06,7.5,True,
G60,tuning,2,13.76005,-14096.0,0.2,5.0,True,
