instance,process,step_scale,time,value,eta,zeta,constraint satisfaction,constraint coeff
bur26a,tuning,2,1.7271,5557545.0,0.005,5.0,True,1.0
bur26a,tuned,2,3.38973,5507769.0,0.0125,0.5,True,1.0
bur26a,tuning,2,1.70505,5557545.0,0.005,5.0,True,1.0
bur26a,tuned,5,3.6601,5502274.0,0.002,2.0,True,1.0
bur26a,tuning,2,1.82927,5557545.0,0.005,5.0,True,1.0
bur26a,tuned,10,4.45413,5495286.0,0.0035,1.5,True,1.0
bur26a,tuning,2,1.70089,5557545.0,0.005,5.0,True,1.0
bur26a,tuned,20,5.30095,5476499.0,0.0035,1.5,True,1.0
bur26a,tuning,2,1.69793,5557545.0,0.005,5.0,True,1.0
bur26a,tuned,50,8.53894,5488717.0,0.005,3.0,True,1.0
esc128,tuning,2,7.90692,68.0,0.005,10.0,True,1.0
esc128,tuned,2,14.6162,68.0,0.005,10.0,True,1.0
esc128,tuning,2,7.97921,68.0,0.005,10.0,True,1.0
esc128,tuned,5,22.48527,66.0,0.005,6.0,True,1.0
esc128,tuning,2,7.95311,68.0,0.005,10.0,True,1.0
esc128,tuned,10,35.46705,66.0,0.005,10.0,True,1.0
esc128,tuning,2,7.92963,68.0,0.005,10.0,True,1.0
esc128,tuned,20,61.55496,66.0,0.005,10.0,True,1.0
esc128,tuning,2,8.02386,68.0,0.005,10.0,True,1.0
esc128,tuned,50,141.16005,66.0,0.005,10.0,True,1.0
esc32a,tuning,2,1.85325,154.0,0.02,1.0,True,1.0
esc32a,tuned,2,3.64113,152.0,0.006,5.0,True,1.0
esc32a,tuning,2,1.90407,154.0,0.02,1.0,True,1.0
esc32a,tuned,5,4.25753,142.0,0.02,1.0,True,1.0
esc32a,tuning,2,1.83374,154.0,0.02,1.0,True,1.0
esc32a,tuned,10,4.91748,132.0,0.015,0.5,True,1.0
esc32a,tuning,2,1.98185,154.0,0.02,1.0,True,1.0
esc32a,tuned,20,6.71131,132.0,0.01,2.5,True,1.0
esc32a,tuning,2,1.83726,154.0,0.02,1.0,True,1.0
esc32a,tuned,50,11.58027,130.0,0.015,1.0,True,1.0
esc64a,tuning,2,3.08678,118.0,0.01,0.0,True,1.0
esc64a,tuned,2,5.98346,116.0,0.01,0.0,True,1.0
esc64a,tuning,2,3.08698,118.0,0.01,0.0,True,1.0
esc64a,tuned,5,7.88674,116.0,0.005,0.0,True,1.0
esc64a,tuning,2,3.09491,118.0,0.01,0.0,True,1.0
esc64a,tuned,10,11.23098,116.0,0.05,1.0,True,1.0
esc64a,tuning,2,3.04714,118.0,0.01,0.0,True,1.0
esc64a,tuned,20,17.65159,116.0,0.02,5.0,True,1.0
esc64a,tuning,2,3.17013,118.0,0.01,0.0,True,1.0
esc64a,tuned,50,37.48867,116.0,0.05,1.0,True,1.0
kra30a,tuning,2,1.94833,99260.0,0.02,1.0,True,1.0
kra30a,tuned,2,3.74791,96060.0,0.005,2.0,True,1.0
kra30a,tuning,2,1.86967,99260.0,0.02,1.0,True,1.0
kra30a,tuned,5,4.10307,94200.0,0.0075,1.5,True,1.0
kra30a,tuning,2,1.88364,99260.0,0.02,1.0,True,1.0
kra30a,tuned,10,4.94792,92910.0,0.0075,1.0,True,1.0
kra30a,tuning,2,1.96989,99260.0,0.02,1.0,True,1.0
kra30a,tuned,20,6.3166,91860.0,0.005,2.0,True,1.0
kra30a,tuning,2,1.85741,99260.0,0.02,1.0,True,1.0
kra30a,tuned,50,10.52847,93510.0,0.02,1.0,True,1.0
kra32,tuning,2,1.87594,100580.0,0.02,5.0,True,1.0
kra32,tuned,2,3.67743,97110.0,0.006,0.5,True,1.0
kra32,tuning,2,1.88204,100580.0,0.02,5.0,True,1.0
kra32,tuned,5,4.20402,94080.0,0.011,1.5,True,1.0
kra32,tuning,2,2.05843,100580.0,0.02,5.0,True,1.0
kra32,tuned,10,5.16927,93360.0,0.002,1.0,True,1.0
kra32,tuning,2,2.03269,100580.0,0.02,5.0,True,1.0
kra32,tuned,20,6.80261,94380.0,0.02,3.5,True,1.0
kra32,tuning,2,1.94609,100580.0,0.02,5.0,True,1.0
kra32,tuned,50,11.74404,92710.0,0.002,5.5,True,1.0
lipa30a,tuning,2,2.01491,13643.0,0.002,20.0,True,1.0
lipa30a,tuned,2,3.83773,13630.0,0.0075,2.5,True,1.0
lipa30a,tuning,2,1.94225,13643.0,0.002,20.0,True,1.0
lipa30a,tuned,5,4.15058,13548.0,0.03,0.0,True,1.0
lipa30a,tuning,2,1.86274,13643.0,0.002,20.0,True,1.0
lipa30a,tuned,10,4.80343,13523.0,0.005,5.0,True,1.0
lipa30a,tuning,2,1.85588,13643.0,0.002,20.0,True,1.0
lipa30a,tuned,20,6.23702,13515.0,0.005,5.0,True,1.0
lipa30a,tuning,2,1.87438,13643.0,0.002,20.0,True,1.0
lipa30a,tuned,50,10.66196,13478.0,0.0075,2.5,True,1.0
lipa40a,tuning,2,2.28348,32422.0,0.005,10.0,True,1.0
lipa40a,tuned,2,4.33558,32351.84766,0.0035,15.0,False,1.0
lipa40a,tuning,2,2.14812,32422.0,0.005,10.0,True,1.0
lipa40a,tuned,5,4.97166,32340.0,0.005,6.0,True,1.0
lipa40a,tuning,2,2.1996,32422.0,0.005,10.0,True,1.0
lipa40a,tuned,10,6.30844,32203.0,0.005,2.0,True,1.0
lipa40a,tuning,2,2.24128,32422.0,0.005,10.0,True,1.0
lipa40a,tuned,20,8.96392,32205.0,0.005,2.0,True,1.0
lipa40a,tuning,2,2.17288,32422.0,0.005,10.0,True,1.0
lipa40a,tuned,50,16.56937,32094.0,0.005,2.0,True,1.0
lipa50a,tuning,2,2.51534,63605.0,0.002,1.0,True,1.0
lipa50a,tuned,2,4.87963,63457.0,0.011,0.5,True,1.0
lipa50a,tuning,2,2.51975,63605.0,0.002,1.0,True,1.0
lipa50a,tuned,5,6.1027,63459.0,0.002,10.0,True,1.0
lipa50a,tuning,2,2.53585,63605.0,0.002,1.0,True,1.0
lipa50a,tuned,10,8.15213,63320.0,0.002,1.0,True,1.0
lipa50a,tuning,2,2.53975,63605.0,0.002,1.0,True,1.0
lipa50a,tuned,20,12.23801,63254.0,0.002,1.0,True,1.0
lipa50a,tuning,2,2.53906,63605.0,0.002,1.0,True,1.0
lipa50a,tuned,50,24.41706,63050.0,0.002,1.0,True,1.0
lipa60a,tuning,2,3.00597,109227.0,0.2,0.0,True,1.0
lipa60a,tuned,2,5.77992,109227.0,0.2,0.0,True,1.0
lipa60a,tuning,2,2.98706,109227.0,0.2,0.0,True,1.0
lipa60a,tuned,5,7.4924,109128.0,0.2,0.0,True,1.0
lipa60a,tuning,2,2.96624,109227.0,0.2,0.0,True,1.0
lipa60a,tuned,10,10.44332,108838.98438,0.2,0.0,False,1.0
lipa60a,tuning,2,3.12621,109227.0,0.2,0.0,True,1.0
lipa60a,tuned,20,16.59209,108916.98438,0.2,0.0,False,1.0
lipa60a,tuning,2,2.97912,109227.0,0.2,0.0,True,1.0
lipa60a,tuned,50,33.93635,108916.0,0.005,1.0,True,1.0
lipa70a,tuning,2,3.54893,172977.0,0.02,5.0,True,1.0
lipa70a,tuned,2,6.75476,172732.0,0.002,2.0,True,1.0
lipa70a,tuning,2,3.54064,172977.0,0.02,5.0,True,1.0
lipa70a,tuned,5,9.13222,172655.0,0.02,0.0,True,1.0
lipa70a,tuning,2,3.73778,172977.0,0.02,5.0,True,1.0
lipa70a,tuned,10,13.41376,172470.0,0.002,2.0,True,1.0
lipa70a,tuning,2,3.57841,172977.0,0.02,5.0,True,1.0
lipa70a,tuned,20,21.38978,172149.0,0.002,2.0,True,1.0
lipa70a,tuning,2,3.5484,172977.0,0.02,5.0,True,1.0
lipa70a,tuned,50,44.96048,172058.0,0.002,2.0,True,1.0
lipa80a,tuning,2,8.74457,256909.0,0.2,1.0,True,1.1
lipa80a,tuned,2,12.45648,256873.0,0.1,2.0,True,1.1
lipa80a,tuning,2,8.94207,256909.0,0.2,1.0,True,1.1
lipa80a,tuned,5,15.85608,256675.0,0.1,2.0,True,1.1
lipa80a,tuning,2,8.87669,256909.0,0.2,1.0,True,1.1
lipa80a,tuned,10,20.95249,256749.0,0.1,2.0,True,1.1
lipa80a,tuning,2,9.02451,256909.0,0.2,1.0,True,1.1
lipa80a,tuned,20,31.86618,256542.0,0.1,2.0,True,1.1
lipa80a,tuning,2,8.86729,256909.0,0.2,1.0,True,1.1
lipa80a,tuned,50,62.86824,256707.0,0.1,2.0,True,1.1
lipa90a,tuning,2,10.45057,365789.0,0.1,2.0,True,1.1
lipa90a,tuned,2,14.75352,365789.0,0.1,2.0,True,1.1
lipa90a,tuning,2,10.46185,365789.0,0.1,2.0,True,1.1
lipa90a,tuned,5,18.67645,365296.0,0.1,2.0,True,1.1
lipa90a,tuning,2,9.95573,365789.0,0.1,2.0,True,1.1
lipa90a,tuned,10,24.96903,365126.0,0.15,1.5,True,1.1
lipa90a,tuning,2,10.54307,365789.0,0.1,2.0,True,1.1
lipa90a,tuned,20,38.42588,365207.0,0.06,3.5,True,1.1
lipa90a,tuning,2,10.41953,365789.0,0.1,2.0,True,1.1
lipa90a,tuned,50,77.98446,365160.0,0.1,2.0,True,1.1
nug27,tuning,2,2.00084,5608.0,0.002,10.0,True,1.0
nug27,tuned,2,3.89455,5480.0,0.0125,1.0,True,1.0
nug27,tuning,2,2.11157,5608.0,0.002,10.0,True,1.0
nug27,tuned,5,4.34307,5390.0,0.0125,1.0,True,1.0
nug27,tuning,2,2.00623,5608.0,0.002,10.0,True,1.0
nug27,tuned,10,4.88731,5328.0,0.0075,3.0,True,1.0
nug27,tuning,2,1.92475,5608.0,0.002,10.0,True,1.0
nug27,tuned,20,5.8943,5344.0,0.0125,1.0,True,1.0
nug27,tuning,2,1.92884,5608.0,0.002,10.0,True,1.0
nug27,tuned,50,9.50103,5316.0,0.0125,1.0,True,1.0
nug28,tuning,2,1.97874,5482.0,0.005,2.0,True,1.0
nug28,tuned,2,3.87478,5384.0,0.01,1.5,True,1.0
nug28,tuning,2,1.97546,5482.0,0.005,2.0,True,1.0
nug28,tuned,5,4.23579,5278.0,0.01,1.0,True,1.0
nug28,tuning,2,1.95641,5482.0,0.005,2.0,True,1.0
nug28,tuned,10,4.96207,5268.0,0.0075,3.5,True,1.0
nug28,tuning,2,1.97059,5482.0,0.005,2.0,True,1.0
nug28,tuned,20,6.1367,5228.0,0.0075,3.0,True,1.0
nug28,tuning,2,2.02041,5482.0,0.005,2.0,True,1.0
nug28,tuned,50,10.01611,5232.0,0.0075,1.5,True,1.0
nug30,tuning,2,2.05194,6376.0,0.02,1.0,True,1.0
nug30,tuned,2,4.04307,6234.0,0.0035,6.0,True,1.0
nug30,tuning,2,2.04119,6376.0,0.02,1.0,True,1.0
nug30,tuned,5,4.4074,6188.0,0.002,2.0,True,1.0
nug30,tuning,2,2.04024,6376.0,0.02,1.0,True,1.0
nug30,tuned,10,5.18551,6226.0,0.011,1.5,True,1.0
nug30,tuning,2,2.01182,6376.0,0.02,1.0,True,1.0
nug30,tuned,20,6.5733,6176.0,0.002,2.0,True,1.0
nug30,tuning,2,2.05549,6376.0,0.02,1.0,True,1.0
nug30,tuned,50,11.00579,6152.0,0.011,1.0,True,1.0
sko100a,tuning,2,5.7963,154296.0,0.005,2.0,True,1.0
sko100a,tuned,2,10.85122,154050.0,0.0035,3.0,True,1.0
sko100a,tuning,2,5.72805,154296.0,0.005,2.0,True,1.0
sko100a,tuned,5,15.66205,153408.0,0.0035,1.5,True,1.0
sko100a,tuning,2,5.91423,154296.0,0.005,2.0,True,1.0
sko100a,tuned,10,24.11942,153514.0,0.0035,1.5,True,1.0
sko100a,tuning,2,5.75569,154296.0,0.005,2.0,True,1.0
sko100a,tuned,20,40.38417,153346.0,0.0035,1.0,True,1.0
sko100a,tuning,2,5.84724,154296.0,0.005,2.0,True,1.0
sko100a,tuned,50,89.21057,153188.0,0.002,3.5,True,1.0
sko42,tuning,2,2.41395,16214.0,0.01,0.0,True,1.0
sko42,tuned,2,4.71324,16048.0,0.005,0.0,True,1.0
sko42,tuning,2,2.38337,16214.0,0.01,0.0,True,1.0
sko42,tuned,5,5.52553,15952.0,0.0075,0.0,True,1.0
sko42,tuning,2,2.37541,16214.0,0.01,0.0,True,1.0
sko42,tuned,10,6.97302,16042.0,0.01,1.0,True,1.0
sko42,tuning,2,2.53864,16214.0,0.01,0.0,True,1.0
sko42,tuned,20,9.98246,15930.0,0.005,0.0,True,1.0
sko42,tuning,2,2.39614,16214.0,0.01,0.0,True,1.0
sko42,tuned,50,18.52725,15874.0,0.0075,0.0,True,1.0
sko49,tuning,2,2.7085,23986.0,0.005,1.0,True,1.0
sko49,tuned,2,5.24362,23780.0,0.005,0.0,True,1.0
sko49,tuning,2,2.80383,23986.0,0.005,1.0,True,1.0
sko49,tuned,5,6.4784,23692.0,0.005,5.0,True,1.0
sko49,tuning,2,2.74747,23986.0,0.005,1.0,True,1.0
sko49,tuned,10,8.40344,23498.0,0.0035,0.0,True,1.0
sko49,tuning,2,2.74716,23986.0,0.005,1.0,True,1.0
sko49,tuned,20,12.30962,23452.0,0.005,0.0,True,1.0
sko49,tuning,2,2.79603,23986.0,0.005,1.0,True,1.0
sko49,tuned,50,24.1676,23450.0,0.005,0.0,True,1.0
sko56,tuning,2,3.18715,35002.0,0.002,0.0,True,1.0
sko56,tuned,2,5.96209,34976.0,0.0035,0.0,True,1.0
sko56,tuning,2,2.95815,35002.0,0.002,0.0,True,1.0
sko56,tuned,5,7.22596,34796.0,0.002,1.0,True,1.0
sko56,tuning,2,2.98597,35002.0,0.002,0.0,True,1.0
sko56,tuned,10,9.94397,34760.0,0.005,1.0,True,1.0
sko56,tuning,2,2.94674,35002.0,0.002,0.0,True,1.0
sko56,tuned,20,15.03396,34786.0,0.0035,0.0,True,1.0
sko56,tuning,2,3.15555,35002.0,0.002,0.0,True,1.0
sko56,tuned,50,30.49637,34640.0,0.005,0.0,True,1.0
sko64,tuning,2,3.29028,49528.0,0.005,0.0,True,1.0
sko64,tuned,2,6.37398,49406.0,0.005,0.0,True,1.0
sko64,tuning,2,3.35684,49528.0,0.005,0.0,True,1.0
sko64,tuned,5,8.37392,49142.0,0.005,0.0,True,1.0
sko64,tuning,2,3.45849,49528.0,0.005,0.0,True,1.0
sko64,tuned,10,11.73315,48978.0,0.005,0.0,True,1.0
sko64,tuning,2,3.46596,49528.0,0.005,0.0,True,1.0
sko64,tuned,20,18.38165,48846.0,0.005,0.0,True,1.0
sko64,tuning,2,3.35575,49528.0,0.005,0.0,True,1.0
sko64,tuned,50,38.04647,48930.0,0.002,1.0,True,1.0
sko72,tuning,2,3.87114,67420.0,0.002,1.0,True,1.0
sko72,tuned,2,7.51725,67140.0,0.002,1.5,True,1.0
sko72,tuning,2,3.86331,67420.0,0.002,1.0,True,1.0
