instance,process,step_scale,time,value,eta,zeta,constraint satisfaction,constraint coeff
att48,tuning,2,1.83486,11121.0,0.01,0.0,True,1
att48,tuned,2,3.43055,11121.0,0.01,0.0,True,1
att48,tuning,2,1.57356,11121.0,0.01,0.0,True,1
att48,tuned,5,4.0475,10820.0,0.035,0.0,True,1
att48,tuning,2,1.55935,11121.0,0.01,0.0,True,1
att48,tuned,10,5.81695,10765.0,0.015,0.5,True,1
att48,tuning,2,1.67825,11121.0,0.01,0.0,True,1
att48,tuned,20,9.46348,10739.0,0.05,0.0,True,1
att48,tuning,2,1.5509,11121.0,0.01,0.0,True,1
att48,tuned,50,19.94193,10725.0,0.05,0.0,True,1
bays29,tuning,2,1.11085,2074.0,0.05,0.0,True,1
bays29,tuned,2,2.14408,2043.0,0.035,0.5,True,1
bays29,tuning,2,1.02836,2074.0,0.05,0.0,True,1
bays29,tuned,5,2.41225,2026.0,0.05,0.0,True,1
bays29,tuning,2,1.14619,2074.0,0.05,0.0,True,1
bays29,tuned,10,3.08719,2028.0,0.015,1.0,True,1
bays29,tuning,2,1.01159,2074.0,0.05,0.0,True,1
bays29,tuned,20,4.23637,2026.0,0.015,0.5,True,1
bays29,tuning,2,1.1747,2074.0,0.05,0.0,True,1
bays29,tuned,50,8.06725,2030.0,0.015,1.0,True,1
berlin52,tuning,2,1.93545,8459.0,0.02,0.0,True,1
berlin52,tuned,2,3.56654,8078.0,0.015,0.0,True,1
berlin52,tuning,2,1.72129,8459.0,0.02,0.0,True,1
berlin52,tuned,5,4.51837,7566.0,0.0125,0.0,True,1
berlin52,tuning,2,1.73795,8459.0,0.02,0.0,True,1
berlin52,tuned,10,6.68182,7542.0,0.005,0.0,True,1
berlin52,tuning,2,1.73093,8459.0,0.02,0.0,True,1
berlin52,tuned,20,10.84324,7543.0,0.01,0.5,True,1
berlin52,tuning,2,1.72282,8459.0,0.02,0.0,True,1
berlin52,tuned,50,23.39383,7713.0,0.005,0.0,True,1
bier127,tuning,2,7.45075,136843.0,0.005,2.0,True,1
bier127,tuned,2,13.42871,128755.0,0.015,1.0,True,1
bier127,tuning,2,7.35488,136843.0,0.005,2.0,True,1
bier127,tuned,5,21.09869,125959.0,0.015,0.5,True,1
bier127,tuning,2,7.24845,136843.0,0.005,2.0,True,1
bier127,tuned,10,33.73716,123317.0,0.015,1.0,True,1
bier127,tuning,2,7.32527,136843.0,0.005,2.0,True,1
bier127,tuned,20,59.95889,123400.0,0.0125,1.0,True,1
bier127,tuning,2,7.37469,136843.0,0.005,2.0,True,1
bier127,tuned,50,137.05909,122436.0,0.015,1.0,True,1
brazil58,tuning,2,2.01619,28945.0,0.02,1.0,True,1
brazil58,tuned,2,3.84335,26944.0,0.01,0.0,True,1
