instance,process,step_scale,time,value,eta,zeta,constraint satisfaction
DSJC125.1,tuning,2,30.55797,5,0.01,20.0,True
DSJC125.1,tuned,1,35.48784,5,0.2,2.0,True
DSJC125.1,tuning,2,24.34174,5,0.01,20.0,True
DSJC125.1,tuned,2,28.13497,5,0.2,2.0,True
DSJC125.1,tuning,2,24.63509,5,0.01,20.0,True
DSJC125.1,tuned,5,28.68361,5,0.2,2.0,True
DSJC125.1,tuning,2,24.51231,5,0.01,20.0,True
DSJC125.1,tuned,10,29.12523,5,0.2,2.0,True
DSJC125.1,tuning,2,24.52616,5,0.01,20.0,True
DSJC125.1,tuned,20,30.3132,5,0.2,2.0,True
DSJC125.1,tuning,2,24.05477,5,0.01,20.0,True
DSJC125.1,tuned,50,33.17664,5,0.2,2.0,True
DSJC250.1,tuning,2,37.12209,8,0.02,10.0,True
DSJC250.1,tuned,1,42.25021,8,0.2,1.0,True
DSJC250.1,tuning,2,30.47325,8,0.02,10.0,True
DSJC250.1,tuned,2,34.72664,8,0.2,1.0,True
DSJC250.1,tuning,2,30.05063,8,0.02,10.0,True
DSJC250.1,tuned,5,35.44484,8,0.2,1.0,True
DSJC250.1,tuning,2,30.02548,8,0.02,10.0,True
DSJC250.1,tuned,10,37.20381,8,0.2,1.0,True
DSJC250.1,tuning,2,31.53934,8,0.02,10.0,True
DSJC250.1,tuned,20,42.366,8,0.2,1.0,True
DSJC250.1,tuning,2,30.75724,8,0.02,10.0,True
DSJC250.1,tuned,50,52.24069,8,0.2,1.0,True
DSJC500.1,tuning,2,65.50171,12,0.005,10.0,True
DSJC500.1,tuned,1,71.05267,12,0.1,2.0,True
DSJC500.1,tuning,2,60.44783,12,0.005,10.0,True
DSJC500.1,tuned,2,66.31541,12,0.1,2.0,True
DSJC500.1,tuning,2,62.08542,12,0.005,10.0,True
DSJC500.1,tuned,5,71.69909,12,0.1,2.0,True
DSJC500.1,tuning,2,61.50719,12,0.005,10.0,True
DSJC500.1,tuned,10,77.20777,12,0.1,2.0,True
DSJC500.1,tuning,2,60.89414,12,0.005,10.0,True
DSJC500.1,tuned,20,88.11713,12,0.1,2.0,True
DSJC500.1,tuning,2,61.56861,12,0.005,10.0,True
DSJC500.1,tuned,50,124.12305,12,0.1,2.0,True
DSJR500.1,tuning,2,117.69159,11,0.02,2.0,True
