instance,process,step_scale,time,value,eta,zeta,constraint satisfaction
G1,tuning,2,3.02488,-11623.0,0.1,2.0,True
G1,tuned,1,6.11311,-11624.0,0.075,3.5,True
G1,tuning,2,3.00552,-11623.0,0.1,2.0,True
G1,tuned,2,5.99835,-11624.0,0.075,3.5,True
G1,tuning,2,2.98399,-11623.0,0.1,2.0,True
G1,tuned,5,6.35995,-11624.0,0.05,5.0,True
G1,tuning,2,2.95144,-11623.0,0.1,2.0,True
G1,tuned,10,6.88883,-11624.0,0.06,6.0,True
G1,tuning,2,2.98028,-11623.0,0.1,2.0,True
G1,tuned,20,8.3124,-11624.0,0.05,5.0,True
G1,tuning,2,3.01482,-11623.0,0.1,2.0,True
G1,tuned,50,12.06179,-11624.0,0.05,10.0,True
G10,tuning,2,3.08352,-1971.0,0.1,5.0,True
G10,tuned,1,6.0373,-1999.0,0.051,7.5,True
G10,tuning,2,3.01735,-1971.0,0.1,5.0,True
G10,tuned,2,6.0142,-1999.0,0.051,7.5,True
G10,tuning,2,3.02597,-1971.0,0.1,5.0,True
G10,tuned,5,6.31737,-1992.0,0.02,10.0,True
G10,tuning,2,3.02452,-1971.0,0.1,5.0,True
G10,tuned,10,6.96719,-2000.0,0.051,7.5,True
G10,tuning,2,3.1126,-1971.0,0.1,5.0,True
G10,tuned,20,8.29954,-1998.0,0.1,5.0,True
G10,tuning,2,3.02535,-1971.0,0.1,5.0,True
G10,tuned,50,12.04024,-1999.0,0.051,7.5,True
G12,tuning,2,2.9842,-550.0,0.2,5.0,True
G12,tuned,1,5.99049,-552.0,0.2,3.5,True
G12,tuning,2,3.03856,-550.0,0.2,5.0,True
G12,tuned,2,6.14013,-552.0,0.2,3.5,True
G12,tuning,2,3.22832,-550.0,0.2,5.0,True
G12,tuned,5,6.55343,-556.0,0.15,5.0,True
G12,tuning,2,3.13229,-550.0,0.2,5.0,True
G12,tuned,10,7.28298,-556.0,0.15,5.0,True
G12,tuning,2,3.21655,-550.0,0.2,5.0,True
G12,tuned,20,8.53411,-556.0,0.2,5.0,True
G12,tuning,2,2.99793,-550.0,0.2,5.0,True
G12,tuned,50,11.92503,-556.0,0.125,6.0,True
G14,tuning,2,2.9848,-3049.0,0.2,2.0,True
G14,tuned,1,6.12533,-3056.0,0.15,5.0,True
G14,tuning,2,3.03,-3049.0,0.2,2.0,True
G14,tuned,2,6.1079,-3056.0,0.15,5.0,True
G14,tuning,2,3.00648,-3049.0,0.2,2.0,True
G14,tuned,5,6.3061,-3058.0,0.1,5.0,True
G14,tuning,2,3.03877,-3049.0,0.2,2.0,True
G14,tuned,10,6.93471,-3060.0,0.15,5.0,True
G14,tuning,2,3.00627,-3049.0,0.2,2.0,True
G14,tuned,20,8.31291,-3060.0,0.2,5.0,True
G14,tuning,2,3.05696,-3049.0,0.2,2.0,True
G14,tuned,50,12.03205,-3061.0,0.125,5.0,True
G16,tuning,2,3.00421,-3036.0,0.2,5.0,True
G16,tuned,1,6.02759,-3045.0,0.2,3.5,True
G16,tuning,2,3.06728,-3036.0,0.2,5.0,True
G16,tuned,2,6.06744,-3045.0,0.2,3.5,True
G16,tuning,2,3.22929,-3036.0,0.2,5.0,True
G16,tuned,5,6.61515,-3047.0,0.1,5.0,True
G16,tuning,2,3.19629,-3036.0,0.2,5.0,True
G16,tuned,10,7.37022,-3050.0,0.15,5.0,True
G16,tuning,2,3.02584,-3036.0,0.2,5.0,True
G16,tuned,20,8.40097,-3052.0,0.05,10.0,True
G16,tuning,2,3.02828,-3036.0,0.2,5.0,True
G16,tuned,50,11.91458,-3052.0,0.2,5.0,True
G18,tuning,2,3.25829,-974.0,0.2,5.0,True
G18,tuned,1,6.24987,-975.0,0.2,5.0,True
