instance,process,step_scale,time,value,eta,zeta,constraint satisfaction
C1000.9,tuning,2,2.58668,-67.0,0.1,2.0,True
C1000.9,tuned,1,5.08055,-67.0,0.1,1.0,True
C1000.9,tuning,2,2.54586,-67.0,0.1,2.0,True
C1000.9,tuned,2,5.11219,-67.0,0.1,1.0,True
C1000.9,tuning,2,2.51263,-67.0,0.1,2.0,True
C1000.9,tuned,5,5.45678,-67.0,0.075,0.5,True
C1000.9,tuning,2,2.51978,-67.0,0.1,2.0,True
C1000.9,tuned,10,6.32301,-68.0,0.0525,3.0,True
C1000.9,tuning,2,2.49842,-67.0,0.1,2.0,True
C1000.9,tuned,20,7.83804,-68.0,0.005,5.0,True
C1000.9,tuning,2,2.49724,-67.0,0.1,2.0,True
C1000.9,tuned,50,12.59373,-68.0,0.1,2.0,True
C2000.5,tuning,2,2.9129,-15.0,0.005,1.0,True
C2000.5,tuned,1,5.51764,-16.0,0.0035,5.5,True
C2000.5,tuning,2,2.92431,-15.0,0.005,1.0,True
C2000.5,tuned,2,5.74928,-16.0,0.005,1.0,True
C2000.5,tuning,2,2.86156,-15.0,0.005,1.0,True
C2000.5,tuned,5,6.65293,-16.0,0.006,5.5,True
C2000.5,tuning,2,2.90552,-15.0,0.005,1.0,True
C2000.5,tuned,10,8.51781,-16.0,0.0075,5.5,True
C2000.5,tuning,2,2.89634,-15.0,0.005,1.0,True
C2000.5,tuned,20,11.46944,-16.0,0.006,5.0,True
C2000.5,tuning,2,2.9112,-15.0,0.005,1.0,True
C2000.5,tuned,50,21.14539,-16.0,0.002,10.0,True
C2000.9,tuning,2,2.86839,-74.0,0.05,5.0,True
C2000.9,tuned,1,5.52992,-75.0,0.035,5.0,True
C2000.9,tuning,2,2.87052,-74.0,0.05,5.0,True
C2000.9,tuned,2,5.82031,-77.0,0.035,2.5,True
C2000.9,tuning,2,2.91736,-74.0,0.05,5.0,True
C2000.9,tuned,5,6.84315,-78.0,0.03,5.0,True
C2000.9,tuning,2,2.8677,-74.0,0.05,5.0,True
C2000.9,tuned,10,8.36065,-77.0,0.035,5.0,True
C2000.9,tuning,2,2.91132,-74.0,0.05,5.0,True
C2000.9,tuned,20,11.66279,-78.0,0.005,10.0,True
C2000.9,tuning,2,2.8776,-74.0,0.05,5.0,True
C2000.9,tuned,50,21.12269,-78.0,0.015,5.0,True
C250.9,tuning,2,2.56138,-44.0,0.1,2.0,True
C250.9,tuned,1,5.06502,-44.0,0.01,2.0,True
C250.9,tuning,2,2.56358,-44.0,0.1,2.0,True
C250.9,tuned,2,5.165,-44.0,0.01,2.0,True
C250.9,tuning,2,2.54868,-44.0,0.1,2.0,True
C250.9,tuned,5,5.10975,-44.0,0.01,2.0,True
C250.9,tuning,2,2.56893,-44.0,0.1,2.0,True
C250.9,tuned,10,5.18041,-44.0,0.01,2.0,True
C250.9,tuning,2,2.54925,-44.0,0.1,2.0,True
C250.9,tuned,20,5.66043,-44.0,0.01,2.0,True
C250.9,tuning,2,2.54966,-44.0,0.1,2.0,True
C250.9,tuned,50,6.68976,-44.0,0.1,2.0,True
C4000.5,tuning,2,4.3918,-16.0,0.005,1.0,True
C4000.5,tuned,1,8.10341,-17.0,0.01,5.0,True
C4000.5,tuning,2,4.37502,-16.0,0.005,1.0,True
C4000.5,tuned,2,9.5897,-17.0,0.006,2.5,True
C4000.5,tuning,2,4.37527,-16.0,0.005,1.0,True
C4000.5,tuned,5,14.04581,-17.0,0.005,1.5,True
C4000.5,tuning,2,4.57797,-16.0,0.005,1.0,True
C4000.5,tuned,10,21.67723,-18.0,0.0035,3.0,True
C4000.5,tuning,2,4.39924,-16.0,0.005,1.0,True
C4000.5,tuned,20,36.52561,-17.0,0.006,5.0,True
C4000.5,tuning,2,4.36726,-16.0,0.005,1.0,True
C4000.5,tuned,50,80.93788,-17.0,0.0035,3.5,True
C500.9,tuning,2,2.59266,-55.0,0.1,2.0,True
C500.9,tuned,1,5.17229,-56.0,0.06,3.5,True
C500.9,tuning,2,2.56195,-55.0,0.1,2.0,True
C500.9,tuned,2,5.12385,-56.0,0.06,3.5,True
C500.9,tuning,2,2.57386,-55.0,0.1,2.0,True
C500.9,tuned,5,5.22212,-57.0,0.055,6.0,True
C500.9,tuning,2,2.57954,-55.0,0.1,2.0,True
C500.9,tuned,10,5.62582,-57.0,0.1,2.0,True
C500.9,tuning,2,2.56372,-55.0,0.1,2.0,True
C500.9,tuned,20,6.37808,-57.0,0.015,7.5,True
C500.9,tuning,2,2.60601,-55.0,0.1,2.0,True
C500.9,tuned,50,8.82578,-57.0,0.06,3.5,True
DSJC1000_5,tuning,2,2.61606,-14.0,0.002,5.0,True
DSJC1000_5,tuned,1,5.1824,-15.0,0.002,10.0,True
DSJC1000_5,tuning,2,2.63044,-14.0,0.002,5.0,True
DSJC1000_5,tuned,2,5.33278,-15.0,0.002,10.0,True
DSJC1000_5,tuning,2,2.60229,-14.0,0.002,5.0,True
DSJC1000_5,tuned,5,5.7509,-15.0,0.006,5.5,True
DSJC1000_5,tuning,2,2.6039,-14.0,0.002,5.0,True
DSJC1000_5,tuned,10,6.42863,-15.0,0.002,5.0,True
DSJC1000_5,tuning,2,2.58581,-14.0,0.002,5.0,True
DSJC1000_5,tuned,20,8.18776,-15.0,0.011,5.5,True
DSJC1000_5,tuning,2,2.62859,-14.0,0.002,5.0,True
DSJC1000_5,tuned,50,12.81572,-15.0,0.002,5.0,True
DSJC500_5,tuning,2,2.58502,-12.0,0.005,0.0,True
DSJC500_5,tuned,1,5.26632,-13.0,0.01,0.0,True
DSJC500_5,tuning,2,2.58126,-12.0,0.005,0.0,True
DSJC500_5,tuned,2,5.16965,-13.0,0.01,0.0,True
DSJC500_5,tuning,2,2.82452,-12.0,0.005,0.0,True
DSJC500_5,tuned,5,5.59206,-13.0,0.01,0.0,True
DSJC500_5,tuning,2,2.80642,-12.0,0.005,0.0,True
DSJC500_5,tuned,10,5.86801,-13.0,0.0035,0.0,True
DSJC500_5,tuning,2,2.64545,-12.0,0.005,0.0,True
DSJC500_5,tuned,20,6.50638,-13.0,0.0035,2.5,True
DSJC500_5,tuning,2,2.7261,-12.0,0.005,0.0,True
DSJC500_5,tuned,50,8.90464,-13.0,0.0075,2.5,True
MANN_a27,tuning,2,2.61445,-125.0,0.005,20.0,True
MANN_a27,tuned,1,5.22181,-126.0,0.0075,20.0,True
MANN_a27,tuning,2,2.61356,-125.0,0.005,20.0,True
MANN_a27,tuned,2,5.23738,-126.0,0.0075,20.0,True
MANN_a27,tuning,2,2.61686,-125.0,0.005,20.0,True
MANN_a27,tuned,5,5.22974,-126.0,0.0075,20.0,True
MANN_a27,tuning,2,2.63875,-125.0,0.005,20.0,True
MANN_a27,tuned,10,5.47663,-126.0,0.03,12.5,True
MANN_a27,tuning,2,2.63897,-125.0,0.005,20.0,True
MANN_a27,tuned,20,6.09492,-126.0,0.06,7.5,True
MANN_a27,tuning,2,2.73261,-125.0,0.005,20.0,True
MANN_a27,tuned,50,8.04775,-126.0,0.0075,20.0,True
MANN_a45,tuning,2,2.64199,-340.0,0.05,5.0,True
MANN_a45,tuned,1,5.26316,-342.0,0.02,10.0,True
MANN_a45,tuning,2,2.66387,-340.0,0.05,5.0,True
MANN_a45,tuned,2,5.24753,-342.0,0.02,10.0,True
MANN_a45,tuning,2,2.62818,-340.0,0.05,5.0,True
MANN_a45,tuned,5,5.76217,-342.0,0.015,10.0,True
MANN_a45,tuning,2,2.78114,-340.0,0.05,5.0,True
MANN_a45,tuned,10,6.69623,-342.0,0.02,10.0,True
MANN_a45,tuning,2,2.66738,-340.0,0.05,5.0,True
MANN_a45,tuned,20,8.17887,-342.0,0.02,10.0,True
MANN_a45,tuning,2,2.71121,-340.0,0.05,5.0,True
MANN_a45,tuned,50,13.06872,-342.0,0.02,10.0,True
MANN_a81,tuning,2,3.63512,-1094.0,0.005,20.0,True
MANN_a81,tuned,1,6.94947,-1096.0,0.02,10.0,True
MANN_a81,tuning,2,3.6401,-1094.0,0.005,20.0,True
