instance,process,step_scale,time,value,eta,zeta,constraint satisfaction
bur26a,tuning,2,2.0192,5522187.0,0.005,0.0,True
bur26a,tuned,1,3.9153,5513466.0,0.005,1.5,True
bur26a,tuning,2,1.98547,5522187.0,0.005,0.0,True
bur26a,tuned,2,3.83543,5513466.0,0.005,1.5,True
bur26a,tuning,2,1.96248,5522187.0,0.005,0.0,True
bur26a,tuned,5,4.23575,5501440.0,0.005,1.0,True
bur26a,tuning,2,1.97541,5522187.0,0.005,0.0,True
bur26a,tuned,10,4.63943,5485315.0,0.005,1.0,True
bur26a,tuning,2,2.00229,5522187.0,0.005,0.0,True
bur26a,tuned,20,5.79516,5479570.0,0.005,0.5,True
bur26a,tuning,2,1.98576,5522187.0,0.005,0.0,True
bur26a,tuned,50,8.98077,5463471.0,0.005,0.5,True
esc128,tuning,2,8.32107,66.0,0.02,5.0,True
esc128,tuned,1,12.60676,66.0,0.02,5.0,True
esc128,tuning,2,7.92466,66.0,0.02,5.0,True
esc128,tuned,2,14.99709,66.0,0.02,5.0,True
esc128,tuning,2,8.00812,66.0,0.02,5.0,True
esc128,tuned,5,22.86634,66.0,0.02,5.0,True
esc128,tuning,2,8.32194,66.0,0.02,5.0,True
esc128,tuned,10,36.54799,66.0,0.02,5.0,True
esc128,tuning,2,8.20818,66.0,0.02,5.0,True
esc128,tuned,20,63.18061,66.0,0.02,5.0,True
esc128,tuning,2,7.80209,66.0,0.02,5.0,True
esc128,tuned,50,141.19972,66.0,0.02,5.0,True
esc32a,tuning,2,2.04416,160.0,0.1,2.0,True
esc32a,tuned,1,4.04033,148.0,0.051,6.0,True
esc32a,tuning,2,2.05597,160.0,0.1,2.0,True
esc32a,tuned,2,3.99563,150.0,0.075,2.0,True
esc32a,tuning,2,2.03824,160.0,0.1,2.0,True
esc32a,tuned,5,4.46061,146.0,0.075,2.0,True
esc32a,tuning,2,1.98673,160.0,0.1,2.0,True
esc32a,tuned,10,5.20862,140.0,0.002,7.5,True
esc32a,tuning,2,2.02141,160.0,0.1,2.0,True
esc32a,tuned,20,7.07991,142.0,0.026,3.5,True
esc32a,tuning,2,2.06179,160.0,0.1,2.0,True
esc32a,tuned,50,12.13155,136.0,0.026,3.5,True
esc64a,tuning,2,3.23949,140.0,0.02,2.0,True
esc64a,tuned,1,5.7014,128.0,0.0275,5.5,True
esc64a,tuning,2,3.14143,140.0,0.02,2.0,True
esc64a,tuned,2,6.11787,130.0,0.05,1.0,True
esc64a,tuning,2,3.15986,140.0,0.02,2.0,True
esc64a,tuned,5,8.04183,128.0,0.05,1.0,True
esc64a,tuning,2,3.16844,140.0,0.02,2.0,True
esc64a,tuned,10,11.46454,120.0,0.0275,5.5,True
esc64a,tuning,2,3.18062,140.0,0.02,2.0,True
esc64a,tuned,20,18.09939,120.0,0.035,1.5,True
esc64a,tuning,2,3.18575,140.0,0.02,2.0,True
esc64a,tuned,50,38.21308,120.0,0.035,1.5,True
kra30a,tuning,2,2.0791,99204.14062,0.01,0.0,False
kra30a,tuned,1,4.09485,94620.0,0.0075,3.0,True
kra30a,tuning,2,2.06496,99204.14062,0.01,0.0,False
kra30a,tuned,2,4.08116,94620.0,0.0075,3.0,True
kra30a,tuning,2,2.01568,99204.14062,0.01,0.0,False
kra30a,tuned,5,4.3431,95080.0,0.015,0.5,True
kra30a,tuning,2,2.0004,99204.14062,0.01,0.0,False
kra30a,tuned,10,5.07807,96950.0,0.0075,1.0,True
kra30a,tuning,2,2.03613,99204.14062,0.01,0.0,False
kra30a,tuned,20,6.56505,96090.0,0.01,1.0,True
kra30a,tuning,2,2.01976,99204.14062,0.01,0.0,False
kra30a,tuned,50,11.06918,95610.0,0.0075,3.0,True
kra32,tuning,2,2.01207,97302.25781,0.01,0.0,False
kra32,tuned,1,3.94164,97302.25781,0.01,0.0,False
kra32,tuning,2,2.0539,97302.25781,0.01,0.0,False
kra32,tuned,2,4.0483,96760.0,0.01,0.0,True
kra32,tuning,2,2.00283,97302.25781,0.01,0.0,False
kra32,tuned,5,4.44581,96490.0,0.01,1.0,True
kra32,tuning,2,2.02704,97302.25781,0.01,0.0,False
kra32,tuned,10,5.31705,94560.0,0.026,1.5,True
kra32,tuning,2,2.05117,97302.25781,0.01,0.0,False
kra32,tuned,20,6.96456,95610.0,0.03,1.0,True
kra32,tuning,2,2.04906,97302.25781,0.01,0.0,False
kra32,tuned,50,11.80535,94010.0,0.006,1.5,True
lipa30a,tuning,2,2.05673,13606.0,0.005,1.0,True
lipa30a,tuned,1,4.10285,13590.0,0.005,3.0,True
lipa30a,tuning,2,2.0584,13606.0,0.005,1.0,True
lipa30a,tuned,2,4.14925,13590.0,0.005,3.0,True
lipa30a,tuning,2,2.20907,13606.0,0.005,1.0,True
lipa30a,tuned,5,4.61076,13559.0,0.005,1.0,True
lipa30a,tuning,2,2.08047,13606.0,0.005,1.0,True
lipa30a,tuned,10,5.20894,13509.0,0.005,3.0,True
lipa30a,tuning,2,2.06498,13606.0,0.005,1.0,True
lipa30a,tuned,20,6.57508,13528.0,0.0075,2.0,True
lipa30a,tuning,2,2.0812,13606.0,0.005,1.0,True
lipa30a,tuned,50,11.08898,13476.0,0.005,3.5,True
lipa40a,tuning,2,2.30899,32454.0,0.002,1.0,True
lipa40a,tuned,1,4.45473,32365.0,0.0035,1.5,True
lipa40a,tuning,2,2.30795,32454.0,0.002,1.0,True
lipa40a,tuned,2,4.5918,32372.0,0.006,7.5,True
lipa40a,tuning,2,2.34455,32454.0,0.002,1.0,True
lipa40a,tuned,5,5.31072,32298.0,0.005,2.0,True
lipa40a,tuning,2,2.28394,32454.0,0.002,1.0,True
lipa40a,tuned,10,6.54903,32248.0,0.002,1.0,True
lipa40a,tuning,2,2.27729,32454.0,0.002,1.0,True
lipa40a,tuned,20,9.06666,32170.0,0.005,2.0,True
lipa40a,tuning,2,2.28373,32454.0,0.002,1.0,True
lipa40a,tuned,50,16.7775,32041.0,0.002,1.0,True
lipa50a,tuning,2,2.69446,63628.0,0.005,2.0,True
lipa50a,tuned,1,4.85957,63612.0,0.005,1.5,True
lipa50a,tuning,2,2.65616,63628.0,0.005,2.0,True
lipa50a,tuned,2,5.15659,63528.0,0.002,10.0,True
lipa50a,tuning,2,2.65813,63628.0,0.005,2.0,True
lipa50a,tuned,5,6.42744,63428.0,0.002,10.0,True
lipa50a,tuning,2,2.83229,63628.0,0.005,2.0,True
lipa50a,tuned,10,8.60347,63361.0,0.002,10.0,True
lipa50a,tuning,2,2.67753,63628.0,0.005,2.0,True
lipa50a,tuned,20,12.5624,63182.0,0.005,1.0,True
lipa50a,tuning,2,2.78451,63628.0,0.005,2.0,True
lipa50a,tuned,50,24.5692,63153.0,0.005,2.0,True
lipa60a,tuning,2,3.16935,109230.0,0.2,0.0,True
lipa60a,tuned,1,5.51501,109230.0,0.2,0.0,True
lipa60a,tuning,2,3.10818,109230.0,0.2,0.0,True
lipa60a,tuned,2,5.97053,109230.0,0.2,0.0,True
lipa60a,tuning,2,3.18028,109230.0,0.2,0.0,True
lipa60a,tuned,5,7.89301,108844.0,0.2,0.0,True
lipa60a,tuning,2,3.17208,109230.0,0.2,0.0,True
lipa60a,tuned,10,10.73669,108652.0,0.2,0.0,True
lipa60a,tuning,2,3.13238,109230.0,0.2,0.0,True
lipa60a,tuned,20,16.64956,108930.0,0.002,5.0,True
lipa60a,tuning,2,3.2475,109230.0,0.2,0.0,True
lipa60a,tuned,50,34.43759,108718.0,0.002,5.0,True
lipa70a,tuning,2,3.646,172693.0,0.05,1.0,True
lipa70a,tuned,1,6.20621,172693.0,0.05,1.0,True
lipa70a,tuning,2,3.79344,172693.0,0.05,1.0,True
lipa70a,tuned,2,7.17323,172691.0,0.035,3.0,True
lipa70a,tuning,2,3.74981,172693.0,0.05,1.0,True
lipa70a,tuned,5,9.57452,172693.0,0.05,1.0,True
lipa70a,tuning,2,3.64896,172693.0,0.05,1.0,True
lipa70a,tuned,10,13.45414,172693.0,0.05,1.0,True
lipa70a,tuning,2,3.61116,172693.0,0.05,1.0,True
lipa70a,tuned,20,21.41067,172600.0,0.01,0.0,True
lipa70a,tuning,2,3.67489,172693.0,0.05,1.0,True
lipa70a,tuned,50,45.345,172435.0,0.01,0.0,True
lipa80a,tuning,2,4.30297,257451.0,0.02,5.0,True
lipa80a,tuned,1,7.15182,257398.0,0.015,5.0,True
lipa80a,tuning,2,4.28217,257451.0,0.02,5.0,True
lipa80a,tuned,2,8.12311,257098.0,0.05,5.0,True
lipa80a,tuning,2,4.30239,257451.0,0.02,5.0,True
lipa80a,tuned,5,11.34785,257077.0,0.002,1.0,True
lipa80a,tuning,2,4.29197,257451.0,0.02,5.0,True
lipa80a,tuned,10,16.55221,256910.0,0.002,1.0,True
lipa80a,tuning,2,4.21142,257451.0,0.02,5.0,True
lipa80a,tuned,20,26.93091,256586.0,0.002,1.0,True
lipa80a,tuning,2,4.30172,257451.0,0.02,5.0,True
lipa80a,tuned,50,58.82753,256269.0,0.002,1.0,True
lipa90a,tuning,2,5.00067,366189.65625,0.1,2.0,False
lipa90a,tuned,1,8.16753,366167.65625,0.2,1.0,False
lipa90a,tuning,2,5.01173,366189.65625,0.1,2.0,False
lipa90a,tuned,2,9.49576,365724.65625,0.1025,1.5,False
lipa90a,tuning,2,4.91806,366189.65625,0.1,2.0,False
lipa90a,tuned,5,13.44649,365754.0,0.005,2.0,True
lipa90a,tuning,2,4.9764,366189.65625,0.1,2.0,False
lipa90a,tuned,10,20.30666,365462.0,0.1,2.0,True
lipa90a,tuning,2,5.13342,366189.65625,0.1,2.0,False
lipa90a,tuned,20,33.6081,364995.0,0.005,1.0,True
lipa90a,tuning,2,5.04442,366189.65625,0.1,2.0,False
lipa90a,tuned,50,73.00902,364917.0,0.005,2.0,True
nug27,tuning,2,2.30168,5426.0,0.02,2.0,True
nug27,tuned,1,4.54712,5342.0,0.01,0.5,True
nug27,tuning,2,2.27168,5426.0,0.02,2.0,True
nug27,tuned,2,4.44525,5342.0,0.01,0.5,True
nug27,tuning,2,2.34596,5426.0,0.02,2.0,True
nug27,tuned,5,4.90675,5362.0,0.01,1.0,True
nug27,tuning,2,2.25612,5426.0,0.02,2.0,True
nug27,tuned,10,5.44996,5356.0,0.01,0.0,True
nug27,tuning,2,2.28042,5426.0,0.02,2.0,True
nug27,tuned,20,6.61786,5344.0,0.01,1.0,True
nug27,tuning,2,2.24685,5426.0,0.02,2.0,True
nug27,tuned,50,9.96845,5250.0,0.01,3.0,True
nug28,tuning,2,2.21526,5450.0,0.005,0.0,True
nug28,tuned,1,4.52267,5332.0,0.005,1.0,True
nug28,tuning,2,2.22319,5450.0,0.005,0.0,True
nug28,tuned,2,4.39631,5332.0,0.005,1.0,True
nug28,tuning,2,2.30428,5450.0,0.005,0.0,True
