instance,process,step_scale,time,value,eta,zeta,constraint satisfaction
att48,tuning,2,1.80339,11464.0,0.002,0.0,True
att48,tuned,1,3.11012,11035.0,0.01,0.5,True
att48,tuning,2,1.70142,11464.0,0.002,0.0,True
att48,tuned,2,3.09815,11114.0,0.0075,0.5,True
att48,tuning,2,1.65565,11464.0,0.002,0.0,True
att48,tuned,5,4.11021,10847.0,0.002,0.0,True
att48,tuning,2,1.65426,11464.0,0.002,0.0,True
att48,tuned,10,5.85164,10739.0,0.01,0.0,True
att48,tuning,2,1.6684,11464.0,0.002,0.0,True
att48,tuned,20,9.46335,10729.0,0.0075,0.5,True
att48,tuning,2,1.5679,11464.0,0.002,0.0,True
att48,tuned,50,19.80718,10737.0,0.005,1.0,True
bays29,tuning,2,1.12552,2058.0,0.05,0.0,True
bays29,tuned,1,2.20024,2020.0,0.0075,0.5,True
bays29,tuning,2,1.0862,2058.0,0.05,0.0,True
bays29,tuned,2,2.09809,2020.0,0.0075,0.5,True
bays29,tuning,2,1.08198,2058.0,0.05,0.0,True
bays29,tuned,5,2.45658,2036.0,0.015,0.5,True
bays29,tuning,2,1.07894,2058.0,0.05,0.0,True
bays29,tuned,10,3.08572,2026.0,0.03,0.5,True
bays29,tuning,2,1.084,2058.0,0.05,0.0,True
bays29,tuned,20,4.29965,2028.0,0.02,0.0,True
bays29,tuning,2,1.085,2058.0,0.05,0.0,True
bays29,tuned,50,7.94968,2026.0,0.005,0.0,True
berlin52,tuning,2,1.81094,8712.0,0.02,0.0,True
berlin52,tuned,1,3.03031,8248.0,0.0125,1.0,True
berlin52,tuning,2,1.89379,8712.0,0.02,0.0,True
berlin52,tuned,2,3.57551,7826.0,0.015,0.0,True
berlin52,tuning,2,1.74911,8712.0,0.02,0.0,True
berlin52,tuned,5,4.54556,7542.0,0.0075,0.0,True
berlin52,tuning,2,1.81628,8712.0,0.02,0.0,True
berlin52,tuned,10,6.8182,7542.0,0.002,0.0,True
berlin52,tuning,2,1.73921,8712.0,0.02,0.0,True
berlin52,tuned,20,10.72037,7567.0,0.015,1.0,True
berlin52,tuning,2,1.93499,8712.0,0.02,0.0,True
berlin52,tuned,50,23.51432,7548.0,0.015,1.0,True
bier127,tuning,2,7.1546,132849.0,0.02,2.0,True
bier127,tuned,1,10.52011,132849.0,0.02,2.0,True
bier127,tuning,2,6.88957,132849.0,0.02,2.0,True
bier127,tuned,2,12.78257,127114.0,0.015,0.0,True
bier127,tuning,2,6.88461,132849.0,0.02,2.0,True
bier127,tuned,5,20.34666,124855.0,0.01,0.0,True
bier127,tuning,2,7.18677,132849.0,0.02,2.0,True
bier127,tuned,10,33.55273,122395.0,0.02,0.0,True
bier127,tuning,2,7.13287,132849.0,0.02,2.0,True
bier127,tuned,20,59.2246,122747.0,0.02,0.0,True
bier127,tuning,2,7.04493,132849.0,0.02,2.0,True
bier127,tuned,50,134.90489,120797.0,0.015,0.0,True
brazil58,tuning,2,2.20105,29883.0,0.02,2.0,True
brazil58,tuned,1,3.51204,28852.0,0.01,0.0,True
brazil58,tuning,2,2.00564,29883.0,0.02,2.0,True
brazil58,tuned,2,3.79457,27352.0,0.02,1.5,True
brazil58,tuning,2,2.06301,29883.0,0.02,2.0,True
brazil58,tuned,5,5.45475,26664.0,0.02,0.0,True
brazil58,tuning,2,2.05124,29883.0,0.02,2.0,True
brazil58,tuned,10,8.1117,26525.0,0.0075,0.0,True
brazil58,tuning,2,2.05182,29883.0,0.02,2.0,True
brazil58,tuned,20,13.2561,25899.0,0.015,0.0,True
brazil58,tuning,2,2.22119,29883.0,0.02,2.0,True
brazil58,tuned,50,29.06941,25717.0,0.0125,0.5,True
burma14,tuning,2,1.16259,3413.0,0.005,20.0,True
burma14,tuned,1,2.28709,3323.0,0.125,1.5,True
burma14,tuning,2,1.12402,3413.0,0.005,20.0,True
burma14,tuned,2,2.33867,3323.0,0.125,1.5,True
burma14,tuning,2,1.1015,3413.0,0.005,20.0,True
burma14,tuned,5,2.18359,3323.0,0.125,1.5,True
burma14,tuning,2,1.10573,3413.0,0.005,20.0,True
burma14,tuned,10,2.19069,3323.0,0.125,1.5,True
burma14,tuning,2,1.10843,3413.0,0.005,20.0,True
burma14,tuned,20,2.49801,3346.0,0.2,0.0,True
burma14,tuning,2,1.26391,3413.0,0.005,20.0,True
burma14,tuned,50,3.468,3323.0,0.125,1.0,True
ch130,tuning,2,7.27035,6811.0,0.005,0.0,True
ch130,tuned,1,10.99627,6554.0,0.005,0.0,True
ch130,tuning,2,7.4951,6811.0,0.005,0.0,True
ch130,tuned,2,14.08489,6581.0,0.0035,0.5,True
ch130,tuning,2,7.5321,6811.0,0.005,0.0,True
ch130,tuned,5,22.85103,6445.0,0.0125,1.0,True
ch130,tuning,2,7.22818,6811.0,0.005,0.0,True
ch130,tuned,10,36.85868,6413.0,0.005,0.0,True
ch130,tuning,2,7.1241,6811.0,0.005,0.0,True
ch130,tuned,20,65.2141,6331.0,0.0125,1.0,True
ch130,tuning,2,7.15836,6811.0,0.005,0.0,True
ch130,tuned,50,151.27896,6276.0,0.002,1.0,True
ch150,tuning,2,9.73079,7320.0,0.005,2.0,True
ch150,tuned,1,15.54709,6971.0,0.01,0.0,True
ch150,tuning,2,9.23458,7320.0,0.005,2.0,True
ch150,tuned,2,19.75996,6849.0,0.01,0.0,True
