instance,best_known,MILP_time,MILP_value,MIQP_time,MIQP_value,QUBO_time,QUBO_value,Other_time,Other_value
anna,11,0.00837,62.0,0.42265,72.0,1.61201,15.0,8.15186,11.0
anna,11,0.27221,61.0,0.43178,71.0,1.8449,12.0,11.6792,11.0
anna,11,3.22921,11.0,0.44537,12.0,55.18658,12.0,12.54676,11.0
anna,11,3.23925,11.0,1.15809,11.0,,,14.32378,11.0
anna,11,,,1.3023,11.0,,,17.40939,11.0
anna,11,,,,,,,26.90593,11.0
anna,11,,,,,,,,
david,11,0.00774,56.0,0.62594,12.0,1.32071,16.0,8.24849,11.0
david,11,0.24341,53.0,1.2343,11.0,1.38109,14.0,11.55524,11.0
david,11,1.64627,11.0,1.28638,11.0,1.5067,12.0,11.96938,11.0
david,11,1.65935,11.0,,,42.4828,12.0,13.00896,11.0
david,11,,,,,,,14.78716,11.0
david,11,,,,,,,20.76586,11.0
david,11,,,,,,,,
DSJC125.1,5,0.00445,24.0,0.42184,22.0,0.21489,11.0,7.73744,6.0
DSJC125.1,5,3.33892,7.0,0.43179,8.0,0.25304,9.0,10.19533,6.0
DSJC125.1,5,17.50614,6.0,5.94494,7.0,0.27624,8.0,10.69452,6.0
DSJC125.1,5,34.59849,6.0,5.96145,6.0,15.62742,7.0,11.16353,5.0
DSJC125.1,5,,,34.63963,6.0,34.77828,7.0,12.70374,5.0
DSJC125.1,5,,,,,,,16.97068,5.0
DSJC125.1,5,,,,,,,,
DSJC250.1,8,0.02149,39.0,2.89692,13.0,1.28164,23.0,12.78482,9.0
DSJC250.1,8,15.62147,35.0,21.83377,12.0,1.44023,15.0,16.7409,9.0
DSJC250.1,8,15.67353,13.0,21.94616,11.0,1.79278,12.0,17.93453,9.0
DSJC250.1,8,15.82489,12.0,80.45039,11.0,79.78843,12.0,20.39271,9.0
DSJC250.1,8,78.92673,12.0,,,,,24.9512,8.0
DSJC250.1,8,,,,,,,38.93714,8.0
DSJC250.1,8,,,,,,,,
DSJC500.1,12,0.14859,69.0,17.92803,20.0,2.49438,32.0,35.14017,13.0
DSJC500.1,12,320.92301,69.0,52.67297,19.0,3.84896,29.0,43.24104,13.0
DSJC500.1,12,,,53.76341,18.0,6.89141,19.0,47.45982,13.0
DSJC500.1,12,,,321.01759,18.0,321.88309,19.0,54.37131,13.0
DSJC500.1,12,,,,,,,68.54479,13.0
DSJC500.1,12,,,,,,,109.11768,12.0
DSJC500.1,12,,,,,,,,
DSJC1000.1,20,1.59504,128.0,118.29858,31.0,66.95456,56.0,372.80318,22.0
DSJC1000.1,20,3551.82856,128.0,559.72624,30.0,79.2236,48.0,417.37227,21.0
DSJC1000.1,20,,,569.65962,29.0,105.11561,31.0,460.49338,21.0
DSJC1000.1,20,,,3551.12772,29.0,3556.22989,31.0,534.33233,21.0
DSJC1000.1,20,,,,,,,680.43797,21.0
DSJC1000.1,20,,,,,,,1117.37828,21.0
DSJC1000.1,20,,,,,,,,
DSJR500.1,12,0.01564,26.0,1.6389,15.0,1.04224,22.0,64.56757,12.0
DSJR500.1,12,12.89799,15.0,18.04402,14.0,1.25885,16.0,72.256,12.0
DSJR500.1,12,13.00909,14.0,57.79437,13.0,1.49288,15.0,75.99375,12.0
DSJR500.1,12,73.94448,12.0,57.87057,12.0,1.93069,14.0,82.70362,12.0
DSJR500.1,12,73.95543,12.0,58.09072,12.0,14.07072,13.0,95.99274,12.0
DSJR500.1,12,,,,,64.17221,12.0,133.58302,12.0
DSJR500.1,12,,,,,64.7585,12.0,,
flat300_20_0,20,0.59065,154.0,34.25879,47.0,28.78673,58.0,46.33747,20.0
flat300_20_0,20,217.56203,93.0,96.51604,46.0,30.39782,55.0,54.46876,20.0
flat300_20_0,20,241.89032,46.0,273.16711,46.0,33.67972,42.0,58.66426,20.0
flat300_20_0,20,246.16629,45.0,,,274.98271,42.0,66.47184,20.0
flat300_20_0,20,273.14263,45.0,,,,,78.53715,20.0
flat300_20_0,20,,,,,,,118.61302,20.0
flat300_20_0,20,,,,,,,,
flat300_26_0,26,0.54277,153.0,37.53606,45.0,5.82848,59.0,73.22669,34.0
flat300_26_0,26,279.03965,44.0,106.63599,44.0,9.02475,44.0,86.82633,33.0
flat300_26_0,26,299.04334,43.0,441.60172,44.0,10.72515,43.0,93.67201,33.0
flat300_26_0,26,441.56736,43.0,,,445.00024,43.0,104.93041,33.0
flat300_26_0,26,,,,,,,129.1341,26.0
flat300_26_0,26,,,,,,,194.76836,26.0
flat300_26_0,26,,,,,,,,
flat300_28_0,28,0.54396,154.0,34.45254,46.0,4.5634,59.0,75.21071,34.0
flat300_28_0,28,222.59911,93.0,82.43806,45.0,6.09624,57.0,95.31448,33.0
flat300_28_0,28,226.1058,44.0,454.96861,45.0,9.27962,45.0,95.35197,33.0
flat300_28_0,28,241.63134,43.0,,,457.98827,45.0,106.43616,33.0
flat300_28_0,28,455.01457,43.0,,,,,129.27495,33.0
flat300_28_0,28,,,,,,,201.47745,33.0
flat300_28_0,28,,,,,,,,
fpsol2.i.1,65,0.48761,186.0,39.66169,65.0,80.10231,65.0,218.85758,83.0
fpsol2.i.1,65,38.7432,171.0,39.95916,65.0,90.91129,65.0,309.22592,77.0
fpsol2.i.1,65,268.87198,65.0,,,,,393.54804,82.0
fpsol2.i.1,65,269.18317,65.0,,,,,536.47948,81.0
fpsol2.i.1,65,,,,,,,837.43892,79.0
fpsol2.i.1,65,,,,,,,1694.16898,79.0
fpsol2.i.1,65,,,,,,,,
games120,9,0.00221,14.0,0.07444,12.0,0.0858,10.0,10.30154,9.0
games120,9,0.735,13.0,0.07598,9.0,0.09638,9.0,13.91231,9.0
games120,9,0.74024,9.0,0.07692,9.0,0.10301,9.0,14.65187,9.0
games120,9,0.74351,9.0,,,,,15.8828,9.0
games120,9,,,,,,,18.02538,9.0
games120,9,,,,,,,24.48504,9.0
games120,9,,,,,,,,
huck,11,0.00382,40.0,0.34324,11.0,0.48986,12.0,7.01212,11.0
huck,11,0.50037,13.0,0.36614,11.0,0.51473,11.0,10.60882,11.0
huck,11,0.5079,11.0,,,0.57167,11.0,10.94221,11.0
huck,11,0.51324,11.0,,,,,11.75372,11.0
huck,11,,,,,,,13.52136,11.0
huck,11,,,,,,,18.57168,11.0
huck,11,,,,,,,,
jean,10,0.00248,35.0,0.3293,37.0,0.25872,12.0,4.7456,10.0
jean,10,0.07884,33.0,0.35378,36.0,0.27241,11.0,8.29799,10.0
jean,10,0.32197,18.0,0.35779,10.0,0.30951,10.0,8.68016,10.0
jean,10,0.3279,10.0,0.39137,10.0,0.33039,10.0,9.54208,10.0
jean,10,0.33626,10.0,,,,,11.16208,10.0
jean,10,,,,,,,16.07799,10.0
jean,10,,,,,,,,
le450_5a,5,0.03474,43.0,4.09229,14.0,2.62199,26.0,14.83993,7.0
le450_5a,5,129.9688,43.0,13.58292,13.0,3.16842,17.0,20.94537,6.0
le450_5a,5,,,13.79934,12.0,4.51635,12.0,22.4089,6.0
le450_5a,5,,,130.11295,12.0,130.19784,12.0,25.58648,6.0
le450_5a,5,,,,,,,31.75868,6.0
le450_5a,5,,,,,,,50.61166,6.0
le450_5a,5,,,,,,,,
le450_15a,15,0.10161,99.0,10.51559,22.0,12.23057,31.0,52.75622,18.0
le450_15a,15,210.62473,29.0,22.52013,21.0,13.92499,27.0,63.3797,17.0
le450_15a,15,211.02561,22.0,410.64562,20.0,19.49424,21.0,71.10411,17.0
le450_15a,15,212.29783,21.0,439.51005,20.0,447.64254,21.0,77.47208,17.0
le450_15a,15,439.3799,21.0,,,,,95.13248,17.0
le450_15a,15,,,,,,,147.61402,17.0
le450_15a,15,,,,,,,,
le450_25a,25,0.17279,126.0,14.70379,28.0,2.90138,30.0,83.5544,27.0
le450_25a,25,489.64356,31.0,26.06478,27.0,696.26954,30.0,104.13265,26.0
le450_25a,25,490.24234,28.0,26.80039,26.0,,,106.73889,26.0
le450_25a,25,493.07696,27.0,55.67988,25.0,,,120.91123,26.0
le450_25a,25,695.76844,27.0,55.91678,25.0,,,147.57868,26.0
le450_25a,25,,,,,,,227.94733,26.0
le450_25a,25,,,,,,,,
miles250,8,0.00187,17.0,0.08413,15.0,0.10371,13.0,16.65435,8.0
miles250,8,0.69888,9.0,0.08584,9.0,0.11978,9.0,20.81472,8.0
miles250,8,2.47457,8.0,0.21058,8.0,1.25856,13.0,21.36413,8.0
miles250,8,2.48049,8.0,0.21656,8.0,4.7378,8.0,22.6371,8.0
miles250,8,,,,,5.11163,8.0,24.5977,8.0
miles250,8,,,,,,,30.62063,8.0
miles250,8,,,,,,,,
miles500,20,0.00865,39.0,0.88906,22.0,0.56007,21.0,10.50494,20.0
miles500,20,8.8351,28.0,1.51759,20.0,0.60201,20.0,16.2351,20.0
miles500,20,8.90132,21.0,1.59461,20.0,0.69408,20.0,17.92654,20.0
miles500,20,18.97991,20.0,,,,,20.82237,20.0
miles500,20,18.98891,20.0,,,,,26.438,20.0
miles500,20,,,,,,,43.79917,20.0
miles500,20,,,,,,,,
miles750,31,0.02021,60.0,1.95422,34.0,1.68651,35.0,10.07612,31.0
miles750,31,18.51236,34.0,4.70548,33.0,1.88846,33.0,17.4145,31.0
miles750,31,18.62548,33.0,4.75414,32.0,1.9938,32.0,19.97891,31.0
miles750,31,34.87083,32.0,5.68561,31.0,125.88014,32.0,24.66153,31.0
miles750,31,37.07123,31.0,5.89818,31.0,,,33.74736,31.0
