instance,process,step_scale,time,value,eta,zeta,constraint satisfaction,constraint coeff,best known solution
DSJC1000.1,tuning,2,387.92108,22,0.005,5.0,True,1,20
DSJC1000.1,tuned,2,418.04634,21,0.075,3.0,True,1,20
DSJC1000.1,tuned,5,465.2894,21,0.05,3.5,True,1,20
DSJC1000.1,tuned,10,535.13338,21,0.05,5.0,True,1,20
DSJC1000.1,tuned,20,692.47159,21,0.05,5.0,True,1,20
DSJC1000.1,tuned,50,1119.5121,21,0.05,2.0,True,1,20
DSJC125.1,tuning,2,9.03573,6,0.01,10.0,True,1,5
DSJC125.1,tuned,2,10.33746,6,0.01,10.0,True,1,5
DSJC125.1,tuned,5,10.48383,6,0.01,10.0,True,1,5
DSJC125.1,tuned,10,11.20639,5,0.125,5.0,True,1,5
DSJC125.1,tuned,20,12.73794,5,0.1,5.0,True,1,5
DSJC125.1,tuned,50,16.98657,5,0.2,2.0,True,1,5
DSJC250.1,tuning,2,14.78173,9,0.01,10.0,True,1,8
DSJC250.1,tuned,2,16.56431,9,0.01,10.0,True,1,8
DSJC250.1,tuned,5,17.92256,9,0.01,10.0,True,1,8
DSJC250.1,tuned,10,20.34956,9,0.01,10.0,True,1,8
DSJC250.1,tuned,20,24.99159,8,0.035,6.0,True,1,8
DSJC250.1,tuned,50,38.79151,8,0.035,7.5,True,1,8
DSJC500.1,tuning,2,39.70061,13,0.02,5.0,True,1,12
DSJC500.1,tuned,2,43.38141,13,0.02,5.0,True,1,12
DSJC500.1,tuned,5,47.51178,13,0.02,5.0,True,1,12
DSJC500.1,tuned,10,54.35592,13,0.02,5.0,True,1,12
DSJC500.1,tuned,20,68.67331,13,0.02,5.0,True,1,12
DSJC500.1,tuned,50,110.06422,12,0.075,3.5,True,1,12
DSJR500.1,tuning,2,68.95789,12,0.002,20.0,True,1,12
DSJR500.1,tuned,2,72.50982,12,0.002,20.0,True,1,12
DSJR500.1,tuned,5,75.75704,12,0.002,20.0,True,1,12
DSJR500.1,tuned,10,82.70573,12,0.002,20.0,True,1,12
DSJR500.1,tuned,20,95.58023,12,0.002,20.0,True,1,12
DSJR500.1,tuned,50,133.84336,12,0.002,20.0,True,1,12
anna,tuning,2,9.9426,11,0.002,50.0,True,1,11
anna,tuned,2,11.59834,11,0.002,50.0,True,1,11
anna,tuned,5,12.45726,11,0.002,50.0,True,1,11
anna,tuned,10,14.06154,11,0.002,50.0,True,1,11
anna,tuned,20,17.28884,11,0.002,50.0,True,1,11
anna,tuned,50,26.57043,11,0.002,50.0,True,1,11
david,tuning,2,9.74987,11,0.05,10.0,True,1,11
david,tuned,2,11.20271,11,0.05,10.0,True,1,11
david,tuned,5,11.71,11,0.05,10.0,True,1,11
david,tuned,10,12.75001,11,0.05,10.0,True,1,11
david,tuned,20,14.87042,11,0.05,10.0,True,1,11
david,tuned,50,20.73831,11,0.05,10.0,True,1,11
flat300_20_0,tuning,2,50.52394,20,0.1,1.0,True,1,20
flat300_20_0,tuned,2,54.37532,20,0.1,1.0,True,1,20
flat300_20_0,tuned,5,58.03494,20,0.1,1.0,True,1,20
flat300_20_0,tuned,10,64.92534,20,0.1,1.0,True,1,20
flat300_20_0,tuned,20,78.77093,20,0.1,1.0,True,1,20
flat300_20_0,tuned,50,128.51723,20,0.1,1.0,True,1,20
flat300_26_0,tuning,2,80.4067,34,0.002,10.0,True,1,26
flat300_26_0,tuned,2,86.13829,33,0.03,3.5,True,1,26
flat300_26_0,tuned,5,92.11115,33,0.05,1.5,True,1,26
flat300_26_0,tuned,10,104.36755,33,0.05,2.0,True,1,26
flat300_26_0,tuned,20,126.27933,26,0.03,3.5,True,1,26
flat300_26_0,tuned,50,195.35879,26,0.03,3.0,True,1,26
flat300_28_0,tuning,2,81.94257,34,0.002,10.0,True,1,28
flat300_28_0,tuned,2,87.7843,33,0.05,3.5,True,1,28
flat300_28_0,tuned,5,93.84389,33,0.05,2.0,True,1,28
flat300_28_0,tuned,10,106.86528,33,0.05,2.0,True,1,28
flat300_28_0,tuned,20,137.5086,33,0.05,2.0,True,1,28
flat300_28_0,tuned,50,203.61066,33,0.01,5.0,True,1,28
fpsol2.i.1,tuning,2,308.33683,83,0.005,20.0,True,1,65
fpsol2.i.1,tuned,2,369.88298,77,0.005,20.0,True,1,65
fpsol2.i.1,tuned,5,454.79808,82,0.005,20.0,True,1,65
fpsol2.i.1,tuned,10,617.81601,81,0.0075,10.0,True,1,65
fpsol2.i.1,tuned,20,901.47297,79,0.02,0.0,True,1,65
fpsol2.i.1,tuned,50,1775.43762,79,0.015,5.0,True,1,65
games120,tuning,2,12.62143,9,0.002,0.0,True,1,9
games120,tuned,2,14.4436,9,0.002,0.0,True,1,9
games120,tuned,5,15.13405,9,0.002,0.0,True,1,9
games120,tuned,10,16.46308,9,0.002,0.0,True,1,9
games120,tuned,20,19.62476,9,0.002,0.0,True,1,9
games120,tuned,50,25.21037,9,0.002,0.0,True,1,9
homer,tuning,2,105.69294,19,0.2,50.0,False,1,13
homer,tuned,2,114.20377,19,0.2,50.0,False,1,13
homer,tuned,5,118.63711,19,0.2,50.0,False,1,13
homer,tuned,10,130.89046,19,0.2,50.0,False,1,13
homer,tuned,20,166.83754,19,0.2,50.0,False,1,13
homer,tuned,50,255.21238,19,0.2,50.0,False,1,13
huck,tuning,2,10.39835,11,0.002,50.0,True,1,11
huck,tuned,2,12.38303,11,0.002,50.0,True,1,11
huck,tuned,5,12.46643,11,0.002,50.0,True,1,11
huck,tuned,10,13.4085,11,0.002,50.0,True,1,11
huck,tuned,20,14.8555,11,0.002,50.0,True,1,11
huck,tuned,50,20.61508,11,0.002,50.0,True,1,11
