instance,best_known,MILP_time,MILP_value,MIQP_time,MIQP_value,QUBO_time,QUBO_value,AMFD_time,AMFD_value
G1,11624,0.00923,0.0,,,0.00053,0.0,0.85266,11623.0
G1,11624,0.31712,9426.0,,,0.03269,11514.0,2.43672,11624.0
G1,11624,0.76624,10175.0,,,0.04136,11593.0,2.82623,11624.0
G1,11624,1.9409,10278.0,,,8.87091,11594.0,3.23011,11624.0
G1,11624,3.49558,10297.0,,,13.68989,11597.0,3.99304,11624.0
G1,11624,3.63255,10306.0,,,14.09104,11598.0,7.77162,11624.0
G1,11624,15.56849,10306.0,,,15.84157,11598.0,,
G2,11620,0.00888,0.0,,,0.00057,0.0,0.91626,11617.0
G2,11620,0.29458,9803.0,,,0.03036,11569.0,1.79258,11617.0
G2,11620,0.69278,10178.0,,,0.04305,11590.0,2.25853,11620.0
G2,11620,1.81947,10191.0,,,7.9266,11591.0,2.87379,11620.0
G2,11620,3.54902,10196.0,,,8.75002,11592.0,4.07939,11617.0
G2,11620,3.67296,10234.0,,,9.1237,11599.0,7.85823,11620.0
G2,11620,15.73436,10234.0,,,15.92949,11599.0,,
G3,11622,0.00905,0.0,,,0.00057,0.0,0.99335,11622.0
G3,11622,0.30471,8393.0,,,0.03401,11544.0,1.93334,11622.0
G3,11622,0.72617,10052.0,,,0.0419,11582.0,2.3117,11622.0
G3,11622,1.90276,10186.0,,,0.05045,11588.0,2.98168,11622.0
G3,11622,3.44212,10200.0,,,5.15805,11611.0,4.23539,11622.0
G3,11622,9.9496,10271.0,,,7.67508,11612.0,8.07309,11622.0
G3,11622,16.16296,10271.0,,,16.3588,11612.0,,
G4,11646,0.00983,0.0,13.93278,5377.0,0.03333,11601.0,1.04478,11641.0
G4,11646,0.29738,9963.0,14.02674,7110.0,6.7357,11615.0,2.07407,11646.0
G4,11646,0.69708,10084.0,14.10682,7808.0,8.43041,11622.0,2.62712,11646.0
G4,11646,1.83696,10090.0,17.23627,7808.0,8.78374,11627.0,3.09587,11646.0
G4,11646,3.27786,10133.0,,,11.38022,11629.0,4.45344,11646.0
G4,11646,10.84101,10147.0,,,12.01137,11641.0,8.31726,11646.0
G4,11646,16.64884,10155.0,,,16.85017,11641.0,,
G5,11631,0.00897,0.0,15.28552,5396.0,0.03268,11585.0,1.13958,11626.0
G5,11631,0.2958,9489.0,15.37732,6986.0,5.25933,11594.0,2.22324,11631.0
G5,11631,0.72788,10165.0,15.45714,7603.0,7.07388,11597.0,2.61352,11631.0
G5,11631,3.11749,10177.0,17.08813,7603.0,7.74362,11600.0,3.22313,11631.0
G5,11631,16.86804,10177.0,,,8.61019,11619.0,4.67891,11631.0
G5,11631,,,,,10.87756,11631.0,8.42335,11631.0
G5,11631,,,,,11.0703,11631.0,,
G6,2178,0.00894,0.0,13.78269,689.0,0.02212,2069.0,1.2153,2135.0
G6,2178,0.7355,1414.0,13.94943,195.0,5.4427,2144.0,2.41439,2161.0
G6,2178,0.79809,1416.0,17.08464,195.0,5.86278,2147.0,2.7834,2168.0
G6,2178,1.91798,1445.0,,,9.37389,2152.0,3.54983,2175.0
G6,2178,16.86571,1445.0,,,9.91107,2156.0,4.74731,2178.0
G6,2178,,,,,10.67817,2178.0,8.42813,2178.0
