instance,best_known,MILP_time,MILP_value,MIQP_time,MIQP_value,QUBO_time,QUBO_value,Other_time,Other_value
brock200_1,21,0.0003,13.0,0.00053,0.0,0.00032,0.0,1.48247,20.0
brock200_1,21,0.17277,15.0,0.05916,13.0,0.02761,19.0,3.05919,21.0
brock200_1,21,0.3512,17.0,0.2028,18.0,0.65963,20.0,3.15368,21.0
brock200_1,21,2.34515,19.0,0.55622,19.0,1.55915,21.0,3.22666,21.0
brock200_1,21,4.67305,21.0,4.37442,21.0,1.62142,21.0,3.58787,21.0
brock200_1,21,4.90816,21.0,4.57744,21.0,,,4.4212,21.0
brock200_1,21,,,,,,,,
brock400_1,27,0.00178,15.0,0.00143,0.0,0.00061,0.0,1.54897,24.0
brock400_1,27,1.74573,18.0,2.66434,21.0,0.08845,21.0,3.19321,24.0
brock400_1,27,1.75478,19.0,7.10557,22.0,5.31047,22.0,3.27156,24.0
brock400_1,27,2.59132,21.0,12.52489,22.0,5.82269,23.0,3.61621,25.0
brock400_1,27,12.52657,21.0,,,7.04969,24.0,4.16981,25.0
brock400_1,27,,,,,7.63399,25.0,6.22706,25.0
brock400_1,27,,,,,12.69064,25.0,,
brock800_1,23,0.00855,14.0,0.00648,0.0,0.00202,0.0,1.69067,20.0
brock800_1,23,17.19708,15.0,16.46583,14.0,0.4321,13.0,3.38489,20.0
brock800_1,23,18.60198,17.0,16.64015,15.0,0.44549,17.0,3.95664,21.0
brock800_1,23,,,16.72092,17.0,0.4588,18.0,4.35179,21.0
brock800_1,23,,,18.64017,17.0,8.18741,20.0,5.62448,21.0
brock800_1,23,,,,,18.62242,20.0,9.17845,21.0
brock800_1,23,,,,,,,,
C250.9,44,0.24879,34.0,0.03075,30.0,0.00027,0.0,1.40091,44.0
C250.9,44,0.56295,37.0,0.1589,33.0,0.01955,41.0,2.85904,44.0
C250.9,44,0.89045,38.0,0.26029,36.0,9.65073,43.0,2.97995,44.0
C250.9,44,1.97505,39.0,2.0819,38.0,,,3.29919,44.0
C250.9,44,4.27631,41.0,4.04293,42.0,,,3.5733,44.0
C250.9,44,6.19355,42.0,4.96608,44.0,,,4.67749,44.0
C250.9,44,9.46446,42.0,5.11758,44.0,,,,
C500.9,57,0.00126,33.0,0.00086,0.0,0.00048,0.0,1.51333,55.0
C500.9,57,1.67349,42.0,1.74289,39.0,0.06037,50.0,3.11473,56.0
C500.9,57,2.02446,45.0,3.10343,45.0,4.94663,54.0,3.34012,56.0
C500.9,57,10.37665,47.0,3.50852,47.0,6.14164,55.0,3.75856,57.0
C500.9,57,13.87847,49.0,3.98043,50.0,7.3457,56.0,4.34178,56.0
C500.9,57,,,9.99408,52.0,13.98372,56.0,6.85637,56.0
C500.9,57,,,13.89347,53.0,,,,
C1000.9,68,0.00428,44.0,0.0031,0.0,0.00111,0.0,1.63163,67.0
C1000.9,68,21.32716,44.0,20.05095,45.0,0.19275,49.0,3.29841,67.0
C1000.9,68,,,20.19985,51.0,0.1993,60.0,3.7708,67.0
C1000.9,68,,,21.84968,53.0,8.55384,61.0,4.52393,68.0
C1000.9,68,,,,,14.34942,63.0,6.03774,68.0
C1000.9,68,,,,,21.75056,63.0,10.6594,68.0
C1000.9,68,,,,,,,,
C2000.5,16,0.05267,11.0,0.03042,0.0,0.01456,0.0,1.95201,15.0
C2000.5,16,39.15802,11.0,38.34763,0.0,3.85707,10.0,4.00535,16.0
C2000.5,16,,,,,3.98002,11.0,4.85839,16.0
C2000.5,16,,,,,4.10737,14.0,6.37911,16.0
C2000.5,16,,,,,38.37321,14.0,9.55192,16.0
C2000.5,16,,,,,,,19.0845,16.0
C2000.5,16,,,,,,,,
C2000.9,80,0.0115,52.0,0.01047,0.0,0.00355,0.0,1.97856,74.0
C2000.9,80,38.10689,59.0,34.77801,50.0,0.80706,51.0,3.90526,77.0
C2000.9,80,,,37.61794,58.0,0.83256,68.0,5.0395,78.0
C2000.9,80,,,38.26455,58.0,0.88072,69.0,6.63086,77.0
C2000.9,80,,,,,0.90582,70.0,9.57229,78.0
C2000.9,80,,,,,18.83237,71.0,19.037,78.0
C2000.9,80,,,,,38.29331,71.0,,
C4000.5,18,0.22305,12.0,0.10711,0.0,0.03852,0.0,3.51007,16.0
