instance,process,step_scale,time,value,eta,zeta,constraint satisfaction,constraint coeff,best known solution
brock200_1,tuning,2,1.48247,20.0,0.01,2.0,True,1,21
brock200_1,tuned,2,3.05919,21.0,0.055,0.0,True,1,21
brock200_1,tuned,5,3.15368,21.0,0.01,1.0,True,1,21
brock200_1,tuned,10,3.22666,21.0,0.01,1.0,True,1,21
brock200_1,tuned,20,3.58787,21.0,0.01,1.0,True,1,21
brock200_1,tuned,50,4.4212,21.0,0.01,1.0,True,1,21
brock400_1,tuning,2,1.54897,24.0,0.01,1.0,True,1,27
brock400_1,tuned,2,3.19321,24.0,0.01,1.0,True,1,27
brock400_1,tuned,5,3.27156,24.0,0.01,3.0,True,1,27
brock400_1,tuned,10,3.61621,25.0,0.01,5.0,True,1,27
brock400_1,tuned,20,4.16981,25.0,0.01,3.0,True,1,27
brock400_1,tuned,50,6.22706,25.0,0.01,2.5,True,1,27
brock800_1,tuning,2,1.69067,20.0,0.05,0.0,True,1,23
brock800_1,tuned,2,3.38489,20.0,0.02,1.0,True,1,23
brock800_1,tuned,5,3.95664,21.0,0.02,1.0,True,1,23
brock800_1,tuned,10,4.35179,21.0,0.0275,5.0,True,1,23
brock800_1,tuned,20,5.62448,21.0,0.0275,5.0,True,1,23
brock800_1,tuned,50,9.17845,21.0,0.02,1.0,True,1,23
C250.9,tuning,2,1.40091,44.0,0.2,2.0,True,1,44
C250.9,tuned,2,2.85904,44.0,0.125,3.5,True,1,44
C250.9,tuned,5,2.97995,44.0,0.05,3.0,True,1,44
C250.9,tuned,10,3.29919,44.0,0.2,2.0,True,1,44
C250.9,tuned,20,3.5733,44.0,0.2,2.0,True,1,44
C250.9,tuned,50,4.67749,44.0,0.2,2.0,True,1,44
C500.9,tuning,2,1.51333,55.0,0.1,2.0,True,1,57
C500.9,tuned,2,3.11473,56.0,0.1,1.5,True,1,57
C500.9,tuned,5,3.34012,56.0,0.1,1.0,True,1,57
C500.9,tuned,10,3.75856,57.0,0.1,2.0,True,1,57
C500.9,tuned,20,4.34178,56.0,0.075,2.0,True,1,57
