instance,process,step_scale,time,value,eta,zeta,constraint satisfaction,constraint coeff,best known solution
bur26a,tuning,2,0.99195,5644287.0,0.01,2.0,True,1,5426670
bur26a,tuned,2,2.43929,5545402.0,0.005,20.0,True,1,5426670
bur26a,tuned,5,2.30475,5497748.0,0.002,10.0,True,1,5426670
bur26a,tuned,10,2.77793,5505928.0,0.006,3.5,True,1,5426670
bur26a,tuned,20,3.86285,5484383.0,0.002,5.0,True,1,5426670
bur26a,tuned,50,7.0247,5496503.0,0.002,10.0,True,1,5426670
chr25a,tuning,2,0.96907,6256.0,0.01,0.0,True,1,3796
chr25a,tuned,2,1.98716,6256.0,0.01,0.0,True,1,3796
chr25a,tuned,5,2.1855,5296.0,0.01,0.0,True,1,3796
chr25a,tuned,10,2.72398,4404.0,0.0125,0.0,True,1,3796
chr25a,tuned,20,3.71599,4352.0,0.02,0.0,True,1,3796
chr25a,tuned,50,6.61807,3832.0,0.015,0.0,True,1,3796
esc32a,tuning,2,1.15346,166.0,0.01,1.0,True,1,130
esc32a,tuned,2,2.28268,146.0,0.005,0.0,True,1,130
esc32a,tuned,5,2.70538,140.0,0.0075,0.0,True,1,130
esc32a,tuned,10,3.52068,134.0,0.01,0.5,True,1,130
esc32a,tuned,20,5.13766,132.0,0.015,0.5,True,1,130
esc32a,tuned,50,9.91922,130.0,0.02,0.0,True,1,130
esc64a,tuning,2,2.34777,116.0,0.01,1.0,True,1,116
esc64a,tuned,2,4.4901,116.0,0.011,3.5,True,1,116
esc64a,tuned,5,6.29905,116.0,0.0075,0.5,True,1,116
esc64a,tuned,10,9.58199,116.0,0.0075,0.5,True,1,116
esc64a,tuned,20,15.92574,116.0,0.0125,2.5,True,1,116
esc64a,tuned,50,35.01721,116.0,0.0125,2.5,True,1,116
esc128,tuning,2,7.07925,68.0,0.01,5.0,True,1,64
esc128,tuned,2,13.11294,68.0,0.015,3.0,True,1,64
esc128,tuned,5,20.66642,66.0,0.01,3.5,True,1,64
esc128,tuned,10,33.27858,66.0,0.01,5.0,True,1,64
esc128,tuned,20,58.73952,66.0,0.01,5.0,True,1,64
esc128,tuned,50,135.05682,66.0,0.01,5.0,True,1,64
kra30a,tuning,2,1.14849,99140.0,0.005,0.0,True,1,88900
kra30a,tuned,2,2.32805,97120.0,0.005,2.0,True,1,88900
kra30a,tuned,5,2.65612,92060.0,0.005,1.0,True,1,88900
kra30a,tuned,10,3.3593,93960.0,0.0035,1.5,True,1,88900
kra30a,tuned,20,4.81633,93300.0,0.0035,3.0,True,1,88900
kra30a,tuned,50,9.0648,92410.0,0.0035,3.0,True,1,88900
kra32,tuning,2,1.19466,99370.0,0.01,0.0,True,1,88700
kra32,tuned,2,2.31738,94900.0,0.0075,1.0,True,1,88700
kra32,tuned,5,2.82806,93910.0,0.0075,2.0,True,1,88700
kra32,tuned,10,3.61313,94160.0,0.0075,1.0,True,1,88700
kra32,tuned,20,5.3501,92460.0,0.01,1.0,True,1,88700
kra32,tuned,50,10.16165,93010.0,0.0075,3.5,True,1,88700
lipa30a,tuning,2,1.18885,13609.0,0.002,50.0,True,1,13178
lipa30a,tuned,2,2.34154,13609.0,0.002,50.0,True,1,13178
lipa30a,tuned,5,2.75247,13605.0,0.0075,5.0,True,1,13178
lipa30a,tuned,10,3.43489,13561.0,0.005,5.0,True,1,13178
lipa30a,tuned,20,4.83921,13534.0,0.005,5.0,True,1,13178
lipa30a,tuned,50,9.07285,13523.0,0.005,5.0,True,1,13178
