instance,best_known,MILP_time,MILP_value,MIQP_time,MIQP_value,QUBO_time,QUBO_value,Other_time,Other_value
att48,10628,0.06703,67822.0,0.00268,49358.0,0.83659,18013.0,1.5442,11278.0
att48,10628,0.26752,12156.0,13.64993,31051.0,0.9343,16731.0,3.47753,10858.0
att48,10628,1.5841,10821.0,17.72882,17338.0,9.90708,16730.0,3.99991,10739.0
att48,10628,2.04313,10704.0,26.93905,17296.0,40.98392,16730.0,5.78825,10805.0
att48,10628,4.13737,10653.0,31.62706,16418.0,,,9.3096,10729.0
att48,10628,4.27791,10628.0,35.11981,16104.0,,,20.14535,10729.0
att48,10628,4.32748,10628.0,40.81508,15474.0,,,,
bays29,2020,0.03421,8057.0,0.00078,6012.0,0.1729,2324.0,1.00604,2034.0
bays29,2020,0.03842,5570.0,0.68841,3700.0,5.26746,2275.0,2.20745,2034.0
bays29,2020,0.07454,2457.0,1.3192,2985.0,7.73231,2250.0,2.32952,2034.0
bays29,2020,0.1593,2182.0,3.2487,2892.0,8.26868,2249.0,2.95007,2030.0
bays29,2020,0.18047,2020.0,5.33451,2518.0,16.46442,2164.0,4.21951,2034.0
bays29,2020,0.18296,2020.0,8.1352,2489.0,,,7.9871,2026.0
bays29,2020,,,16.40647,2354.0,,,,
berlin52,7542,0.2316,16200.0,0.00306,25833.0,0.99251,23372.0,1.71709,8160.0
berlin52,7542,0.29993,9502.0,23.13775,13007.0,1.05491,11217.0,3.54286,7986.0
berlin52,7542,0.41398,7542.0,26.86393,12291.0,31.87398,11147.0,4.55064,7866.0
berlin52,7542,0.42586,7542.0,36.60044,12120.0,48.23031,10273.0,6.70538,7758.0
berlin52,7542,,,37.91561,11865.0,,,10.82616,7570.0
berlin52,7542,,,39.42711,11282.0,,,23.36074,7553.0
berlin52,7542,,,47.26115,11239.0,,,,
bier127,118282,11.78939,146669.0,0.02483,647655.0,17.46404,250327.9,7.15205,132991.0
bier127,118282,12.32273,145138.0,272.5475,647655.0,149.58424,239061.9,13.03323,128877.0
bier127,118282,18.57636,125139.0,,,275.28046,239061.9,20.8312,125452.0
bier127,118282,26.23998,118385.0,,,,,33.30549,122756.0
bier127,118282,34.72268,118282.0,,,,,59.00827,121713.0
bier127,118282,34.91388,118282.0,,,,,135.93172,122163.0
bier127,118282,,,,,,,,
brazil58,25395,0.31711,51246.0,0.00438,116263.0,1.54562,42831.99,2.00921,28976.0
brazil58,25395,0.3924,31162.0,41.04359,39705.0,1.63251,41950.99,3.8937,27741.0
brazil58,25395,0.41127,31053.0,46.84561,39441.0,58.82376,41950.99,5.37484,27356.0
brazil58,25395,0.93286,25395.0,47.08309,39417.0,,,8.11068,26588.0
brazil58,25395,0.93739,25395.0,48.2331,38986.0,,,13.31431,26471.0
brazil58,25395,,,57.93028,38935.0,,,29.09727,26464.0
brazil58,25395,,,58.56908,38522.0,,,,
burma14,3323,0.01382,4562.0,0.0003,6223.0,0.02329,3921.0,0.86506,3711.0
burma14,3323,0.01946,3953.0,0.2144,5526.0,0.43664,3768.0,1.75166,3431.0
burma14,3323,0.03521,3323.0,0.27726,4384.0,0.47258,3472.0,1.87641,3408.0
burma14,3323,0.03613,3323.0,0.35078,3672.0,0.84862,3323.0,1.88938,3323.0
burma14,3323,,,1.06754,3403.0,6.31204,3323.0,2.19005,3336.0
burma14,3323,,,4.64008,3390.0,,,3.08034,3346.0
burma14,3323,,,6.38517,3390.0,,,,
ch130,6110,12.08259,7074.0,0.02894,46100.0,18.64437,19663.0,7.54435,7121.0
ch130,6110,20.03034,6144.0,301.04735,46100.0,19.82898,18621.0,14.28033,6544.0
ch130,6110,26.0417,6136.0,,,156.23095,14386.0,22.55266,6431.0
ch130,6110,42.44748,6129.0,,,301.04301,14386.0,36.84953,6339.0
ch130,6110,43.83489,6124.0,,,,,65.25791,6314.0
ch130,6110,66.82695,6110.0,,,,,150.32906,6259.0
ch130,6110,67.03917,6110.0,,,,,,
ch150,6528,9.80347,8130.0,0.03681,50074.0,27.40319,22880.0,9.82952,7064.0
ch150,6528,10.79535,8109.0,502.18794,50074.0,30.91779,21729.0,20.44815,6887.0
ch150,6528,15.46876,6761.0,,,32.74918,20063.0,34.90117,6823.0
ch150,6528,23.88569,6556.0,,,509.00428,20063.0,58.92908,6809.0
ch150,6528,65.93447,6537.0,,,,,107.01894,6771.0
ch150,6528,69.87456,6528.0,,,,,250.82276,6685.0
ch150,6528,70.18694,6528.0,,,,,,
dantzig42,699,0.05271,4259.0,0.00188,2778.0,0.51918,782.0,1.47986,718.0
dantzig42,699,0.17401,840.0,6.44903,1426.0,0.55024,730.0,3.12558,718.0
dantzig42,699,0.23507,771.0,6.47684,699.0,12.63362,710.0,3.6649,705.0
dantzig42,699,0.39289,764.0,6.48938,699.0,35.07164,710.0,5.22747,704.0
dantzig42,699,1.99997,700.0,,,,,7.76229,705.0
dantzig42,699,2.34454,699.0,,,,,15.66935,699.0
dantzig42,699,2.37657,699.0,,,,,,
