instance,process,step_scale,time,value,eta,zeta,constraint satisfaction,constraint coeff,best known solution
att48,tuning,2,1.89162,11278.0,0.005,1.0,True,1,10628
att48,tuned,2,3.47753,10858.0,0.005,0.5,True,1,10628
att48,tuned,5,3.99991,10739.0,0.02,0.0,True,1,10628
att48,tuned,10,5.78825,10805.0,0.0075,0.5,True,1,10628
att48,tuned,20,9.3096,10729.0,0.03,0.0,True,1,10628
att48,tuned,50,20.14535,10729.0,0.035,0.0,True,1,10628
bays29,tuning,2,1.09372,2034.0,0.05,0.0,True,1,2020
bays29,tuned,2,2.20745,2034.0,0.05,0.0,True,1,2020
bays29,tuned,5,2.32952,2034.0,0.05,0.0,True,1,2020
bays29,tuned,10,2.95007,2030.0,0.0075,1.0,True,1,2020
bays29,tuned,20,4.21951,2034.0,0.05,0.0,True,1,2020
bays29,tuned,50,7.9871,2026.0,0.0125,1.0,True,1,2020
berlin52,tuning,2,1.94283,8160.0,0.01,1.0,True,1,7542
berlin52,tuned,2,3.54286,7986.0,0.011,1.0,True,1,7542
berlin52,tuned,5,4.55064,7866.0,0.011,0.5,True,1,7542
berlin52,tuned,10,6.70538,7758.0,0.02,0.0,True,1,7542
berlin52,tuned,20,10.82616,7570.0,0.011,0.5,True,1,7542
berlin52,tuned,50,23.36074,7553.0,0.002,1.5,True,1,7542
bier127,tuning,2,7.21671,132991.0,0.005,2.0,True,1,118282
bier127,tuned,2,13.03323,128877.0,0.01,0.0,True,1,118282
bier127,tuned,5,20.8312,125452.0,0.01,1.0,True,1,118282
bier127,tuned,10,33.30549,122756.0,0.015,0.0,True,1,118282
bier127,tuned,20,59.00827,121713.0,0.02,0.0,True,1,118282
bier127,tuned,50,135.93172,122163.0,0.02,0.0,True,1,118282
brazil58,tuning,2,2.05227,28976.0,0.02,0.0,True,1,25395
brazil58,tuned,2,3.8937,27741.0,0.01,0.0,True,1,25395
brazil58,tuned,5,5.37484,27356.0,0.01,0.0,True,1,25395
brazil58,tuned,10,8.11068,26588.0,0.015,0.0,True,1,25395
brazil58,tuned,20,13.31431,26471.0,0.0075,1.0,True,1,25395
brazil58,tuned,50,29.09727,26464.0,0.015,0.5,True,1,25395
burma14,tuning,2,0.90623,3711.0,0.2,2.0,True,1,3323
burma14,tuned,2,1.75166,3431.0,0.2,1.0,True,1,3323
burma14,tuned,5,1.87641,3408.0,0.1,1.0,True,1,3323
burma14,tuned,10,1.88938,3323.0,0.1,1.0,True,1,3323
burma14,tuned,20,2.19005,3336.0,0.15,0.5,True,1,3323
burma14,tuned,50,3.08034,3346.0,0.05,5.0,True,1,3323
ch130,tuning,2,7.65541,7121.0,0.002,0.0,True,1,6110
ch130,tuned,2,14.28033,6544.0,0.015,1.0,True,1,6110
ch130,tuned,5,22.55266,6431.0,0.002,0.0,True,1,6110
ch130,tuned,10,36.84953,6339.0,0.01,1.0,True,1,6110
ch130,tuned,20,65.25791,6314.0,0.011,1.0,True,1,6110
ch130,tuned,50,150.32906,6259.0,0.002,0.0,True,1,6110
ch150,tuning,2,9.96039,7064.0,0.005,0.0,True,1,6528
ch150,tuned,2,20.44815,6887.0,0.005,0.0,True,1,6528
ch150,tuned,5,34.90117,6823.0,0.015,1.5,True,1,6528
ch150,tuned,10,58.92908,6809.0,0.0125,0.5,True,1,6528
ch150,tuned,20,107.01894,6771.0,0.01,2.0,True,1,6528
ch150,tuned,50,250.82276,6685.0,0.01,2.0,True,1,6528
dantzig42,tuning,2,1.55801,718.0,0.01,0.0,True,1,699
dantzig42,tuned,2,3.12558,718.0,0.01,0.0,True,1,699
dantzig42,tuned,5,3.6649,705.0,0.0275,0.0,True,1,699
dantzig42,tuned,10,5.22747,704.0,0.0075,1.0,True,1,699
dantzig42,tuned,20,7.76229,705.0,0.05,0.0,True,1,699
dantzig42,tuned,50,15.66935,699.0,0.0075,1.0,True,1,699
eil101,tuning,2,4.8984,687.0,0.01,1.0,True,1,629
eil101,tuned,2,9.07934,664.0,0.015,0.0,True,1,629
eil101,tuned,5,13.93477,653.0,0.02,0.0,True,1,629
eil101,tuned,10,21.97466,647.0,0.011,0.5,True,1,629
eil101,tuned,20,38.09611,652.0,0.02,1.0,True,1,629
eil101,tuned,50,86.42525,645.0,0.02,1.0,True,1,629
eil51,tuning,2,1.88744,452.0,0.02,1.0,True,1,426
eil51,tuned,2,3.67584,444.0,0.015,0.5,True,1,426
eil51,tuned,5,4.69429,439.0,0.0125,0.0,True,1,426
eil51,tuned,10,6.85269,435.0,0.005,0.0,True,1,426
eil51,tuned,20,10.7908,438.0,0.02,0.0,True,1,426
eil51,tuned,50,23.14939,434.0,0.0125,0.5,True,1,426
eil76,tuning,2,3.27954,577.0,0.005,1.0,True,1,538
eil76,tuned,2,6.04443,570.0,0.02,0.0,True,1,538
eil76,tuned,5,8.52543,561.0,0.0035,0.5,True,1,538
eil76,tuned,10,13.12717,562.0,0.02,0.0,True,1,538
eil76,tuned,20,22.41132,555.0,0.01,2.0,True,1,538
eil76,tuned,50,49.5413,552.0,0.026,0.5,True,1,538
fri26,tuning,2,1.17227,1068.0,0.05,1.0,True,1,937
fri26,tuned,2,2.27634,940.0,0.05,0.0,True,1,937
fri26,tuned,5,2.48917,944.0,0.05,0.0,True,1,937
fri26,tuned,10,3.16721,940.0,0.0525,0.5,True,1,937
fri26,tuned,20,4.11545,940.0,0.05,0.5,True,1,937
fri26,tuned,50,7.23199,940.0,0.05,0.0,True,1,937
gr120,tuning,2,6.69964,7739.0,0.005,2.0,True,1,6942
gr120,tuned,2,12.20418,7323.0,0.006,0.0,True,1,6942
gr120,tuned,5,19.19369,7243.0,0.002,0.0,True,1,6942
gr120,tuned,10,30.68934,7159.0,0.006,0.0,True,1,6942
gr120,tuned,20,53.91026,7143.0,0.0035,1.0,True,1,6942
gr120,tuned,50,120.68167,7152.0,0.0035,3.0,True,1,6942
gr137,tuning,2,8.49443,75395.0,0.02,0.0,True,1,69853
gr137,tuned,2,16.13602,74379.0,0.015,0.0,True,1,69853
gr137,tuned,5,26.28453,72500.0,0.005,0.0,True,1,69853
gr137,tuned,10,42.97881,72812.0,0.0125,0.5,True,1,69853
gr137,tuned,20,76.49429,71476.0,0.0125,0.5,True,1,69853
gr137,tuned,50,177.34286,71359.0,0.0075,0.5,True,1,69853
gr17,tuning,2,1.09084,2235.0,0.05,2.0,True,1,2085
gr17,tuned,2,2.26172,2182.0,0.075,0.5,True,1,2085
gr17,tuned,5,2.26556,2131.0,0.075,0.0,True,1,2085
gr17,tuned,10,2.39252,2095.0,0.075,0.5,True,1,2085
gr17,tuned,20,2.96952,2085.0,0.05,0.0,True,1,2085
gr17,tuned,50,4.02079,2085.0,0.035,3.5,True,1,2085
gr21,tuning,2,1.16021,3018.0,0.1,1.0,True,1,2707
gr21,tuned,2,2.27327,2709.0,0.055,0.0,True,1,2707
gr21,tuned,5,2.38909,2707.0,0.075,0.0,True,1,2707
gr21,tuned,10,2.87943,2707.0,0.055,0.0,True,1,2707
gr21,tuned,20,3.39351,2707.0,0.075,0.5,True,1,2707
gr21,tuned,50,5.4211,2707.0,0.055,0.5,True,1,2707
gr24,tuning,2,1.219,1354.0,0.05,0.0,True,1,1272
gr24,tuned,2,2.44153,1289.0,0.075,0.0,True,1,1272
gr24,tuned,5,2.70804,1283.0,0.05,0.0,True,1,1272
gr24,tuned,10,3.18852,1283.0,0.075,0.0,True,1,1272
gr24,tuned,20,3.919,1283.0,0.05,0.0,True,1,1272
gr24,tuned,50,6.38096,1272.0,0.0275,2.5,True,1,1272
gr48,tuning,2,1.90345,5189.0,0.02,0.0,True,1,5046
gr48,tuned,2,3.5984,5153.0,0.0125,0.5,True,1,5046
gr48,tuned,5,4.62539,5123.0,0.035,0.5,True,1,5046
gr48,tuned,10,6.55066,5095.0,0.02,1.0,True,1,5046
gr48,tuned,20,10.13715,5132.0,0.02,0.0,True,1,5046
gr48,tuned,50,20.8641,5093.0,0.05,0.5,True,1,5046
gr96,tuning,2,4.67627,61521.0,0.02,1.0,True,1,55209
gr96,tuned,2,8.64124,57579.0,0.01,0.0,True,1,55209
gr96,tuned,5,13.22504,57468.0,0.02,0.5,True,1,55209
gr96,tuned,10,20.47296,56279.0,0.015,0.5,True,1,55209
gr96,tuned,20,35.30851,56526.0,0.02,0.5,True,1,55209
gr96,tuned,50,78.93771,56556.0,0.011,2.5,True,1,55209
hk48,tuning,2,1.97884,12144.0,0.05,0.0,True,1,11461
hk48,tuned,2,3.70499,11809.0,0.05,0.0,True,1,11461
hk48,tuned,5,4.73338,11746.0,0.05,0.0,True,1,11461
hk48,tuned,10,6.57878,11651.0,0.05,0.0,True,1,11461
hk48,tuned,20,10.06683,11598.0,0.05,0.0,True,1,11461
hk48,tuned,50,21.08749,11508.0,0.05,0.0,True,1,11461
kroA100,tuning,2,5.11178,24964.0,0.005,2.0,True,1,21282
kroA100,tuned,2,9.46331,22069.0,0.015,0.5,True,1,21282
kroA100,tuned,5,14.09308,22204.0,0.02,1.0,True,1,21282
kroA100,tuned,10,22.06804,21835.0,0.01,0.0,True,1,21282
kroA100,tuned,20,38.00152,21480.0,0.015,0.5,True,1,21282
kroA100,tuned,50,85.59597,21445.0,0.0125,1.5,True,1,21282
kroA150,tuning,2,10.25002,27980.0,0.002,0.0,True,1,26524
kroA150,tuned,2,20.95742,27800.0,0.0125,0.0,True,1,26524
kroA150,tuned,5,35.46357,27688.0,0.02,1.0,True,1,26524
kroA150,tuned,10,59.53795,27622.0,0.0125,1.0,True,1,26524
kroA150,tuned,20,107.89621,27704.0,0.0125,1.5,True,1,26524
kroA150,tuned,50,253.19899,27192.0,0.0125,0.0,True,1,26524
kroB100,tuning,2,5.02742,22824.0,0.02,0.0,True,1,22141
kroB100,tuned,2,9.38504,22765.0,0.02,0.5,True,1,22141
kroB100,tuned,5,14.16781,22634.0,0.02,0.5,True,1,22141
kroB100,tuned,10,22.19934,22824.0,0.02,0.0,True,1,22141
