,instance,process,time,value,constraint satisfaction,best known solution
0,burma14,MILP,0.01744,3323.0,True,3323
1,burma14,MIQP,1.32571,3390.0,True,3323
2,burma14,MIQP,2.5007,3381.0,True,3323
3,burma14,MIQP,2.56205,3381.0,True,3323
4,burma14,MIQP,2.61363,3381.0,True,3323
5,burma14,MIQP,2.70929,3381.0,True,3323
6,burma14,MIQP,3.52792,3381.0,True,3323
7,burma14,MIQP,4.09333,3323.0,True,3323
8,burma14,QUBO,1.32571,3390.0,True,3323
9,burma14,QUBO,2.5007,3381.0,True,3323
10,burma14,QUBO,2.56205,3381.0,True,3323
11,burma14,QUBO,2.61363,3381.0,True,3323
12,burma14,QUBO,2.70929,3381.0,True,3323
13,burma14,QUBO,3.52792,3381.0,True,3323
14,burma14,QUBO,1.32571,3369.0,True,3323
15,burma14,QUBO,2.5007,3346.0,True,3323
16,burma14,QUBO,2.56205,3346.0,True,3323
17,burma14,QUBO,2.61363,3346.0,True,3323
18,burma14,QUBO,2.70929,3346.0,True,3323
19,burma14,QUBO,3.52792,3346.0,True,3323
20,burma14,QUBO,17.6427,3336.0,True,3323
