,instance,process,time,value,constraint satisfaction,best known solution
0,G1,MILP,1.57085,-10278.0,True,-11624
1,G1,MILP,2.43672,-10285.0,True,-11624
2,G1,MILP,2.82623,-10285.0,True,-11624
3,G1,MILP,15.56026,-10306.0,True,-11624
4,G1,MIQP,1.57085,-4784.0,True,-11624
5,G1,MIQP,2.43672,-4784.0,True,-11624
6,G1,MIQP,2.82623,-4784.0,True,-11624
7,G1,MIQP,3.23011,-4784.0,True,-11624
8,G1,MIQP,3.99304,-4784.0,True,-11624
9,G1,MIQP,7.77162,-4784.0,True,-11624
10,G1,MIQP,26.17346,-8307.0,True,-11624
11,G1,QUBO,1.57085,-11594.0,True,-11624
12,G1,QUBO,2.43672,-11596.0,True,-11624
13,G1,QUBO,2.82623,-11596.0,True,-11624
14,G1,QUBO,3.23011,-11596.0,True,-11624
15,G1,QUBO,3.99304,-11596.0,True,-11624
16,G1,QUBO,15.58986,-11598.0,True,-11624
17,G10,MILP,0.86847,-1283.0,True,-2000
18,G10,MILP,1.83922,-1285.0,True,-2000
19,G10,MILP,2.17614,-1285.0,True,-2000
20,G10,MILP,15.47013,-1285.0,True,-2000
21,G10,MIQP,0.86847,-817.0,True,-2000
22,G10,MIQP,1.83922,-817.0,True,-2000
23,G10,MIQP,2.17614,-817.0,True,-2000
24,G10,MIQP,2.73729,-817.0,True,-2000
25,G10,MIQP,3.94944,-817.0,True,-2000
26,G10,MIQP,7.72906,-817.0,True,-2000
27,G10,MIQP,24.12457,-1145.0,True,-2000
28,G10,QUBO,0.86847,-1979.0,True,-2000
29,G10,QUBO,1.83922,-1979.0,True,-2000
30,G10,QUBO,15.4877,-1979.0,True,-2000
31,G12,MILP,0.86786,-512.0,True,-556
32,G12,MILP,1.70329,-554.0,True,-556
33,G12,MILP,2.03218,-556.0,True,-556
34,G12,MILP,2.58309,-556.0,True,-556
35,G12,MIQP,0.86786,-470.0,True,-556
36,G12,MIQP,1.70329,-516.0,True,-556
37,G12,MIQP,2.03218,-528.0,True,-556
38,G12,MIQP,2.67424,-550.0,True,-556
39,G12,MIQP,4.04306,-554.0,True,-556
40,G12,MIQP,8.0846,-554.0,True,-556
41,G12,QUBO,0.86786,-548.0,True,-556
42,G12,QUBO,1.50835,-552.0,True,-556
43,G14,MILP,0.03299,0.0,True,-3064
44,G14,MIQP,0.89609,-2702.0,True,-3064
45,G14,MIQP,1.75663,-2722.0,True,-3064
46,G14,MIQP,2.19618,-2722.0,True,-3064
47,G14,MIQP,2.86045,-2722.0,True,-3064
48,G14,MIQP,3.52248,-2722.0,True,-3064
49,G14,QUBO,0.99572,-3008.0,True,-3064
