,instance,process,time,value,constraint satisfaction,best known solution
0,C1000.9,MILP,1.66588,-5.0,True,-68
1,C1000.9,MILP,3.29841,-5.0,True,-68
2,C1000.9,MILP,3.7708,-5.0,True,-68
3,C1000.9,MILP,4.52393,-5.0,True,-68
4,C1000.9,MILP,6.03774,-5.0,True,-68
5,C1000.9,MILP,21.49592,-5.0,True,-68
6,C1000.9,MIQP,1.66588,-4.0,True,-68
7,C1000.9,MIQP,3.29841,-4.0,True,-68
8,C1000.9,MIQP,3.7708,-4.0,True,-68
9,C1000.9,MIQP,4.52393,-4.0,True,-68
10,C1000.9,MIQP,6.03774,-4.0,True,-68
11,C1000.9,MIQP,21.40423,-4.0,True,-68
12,C1000.9,QUBO,1.66588,-61.0,True,-68
13,C1000.9,QUBO,3.29841,-63.0,True,-68
14,C1000.9,QUBO,3.7708,-63.0,True,-68
15,C1000.9,QUBO,4.52393,-63.0,True,-68
16,C1000.9,QUBO,21.38242,-63.0,True,-68
17,C2000.5,MILP,38.22992,-11.0,True,-16
18,C2000.5,MIQP,38.1931,0.0,True,-16
19,C2000.5,QUBO,2.04476,-10.0,True,-16
20,C2000.5,QUBO,38.67837,-14.0,True,-16
21,C2000.9,MILP,38.18819,-4.0,True,-80
22,C2000.9,MIQP,7.44569,0.0,True,-80
23,C2000.9,QUBO,2.35246,-70.0,True,-80
24,C250.9,MILP,1.99417,-5.0,True,-44
25,C250.9,MIQP,0.57884,-5.0,True,-44
26,C250.9,QUBO,0.23467,-41.0,True,-44
