,instance,process,time,value,constraint satisfaction,best known solution
0,bur26a,MILP,0.00735,6147379.0,True,5426670
1,bur26a,MILP,1.28123,6053896.0,True,5426670
2,bur26a,MILP,1.30313,6053533.0,True,5426670
3,bur26a,MILP,1.57731,5838401.0,True,5426670
4,bur26a,MILP,1.82935,5828179.0,True,5426670
5,bur26a,MILP,1.94399,5823587.0,True,5426670
6,bur26a,MILP,2.88773,5724504.0,True,5426670
7,bur26a,MILP,4.30197,5674468.0,True,5426670
8,bur26a,MILP,7.22629,5646231.0,True,5426670
9,bur26a,MILP,13.26852,5637978.0,True,5426670
10,bur26a,MILP,13.27614,5621263.0,True,5426670
11,bur26a,MILP,14.37248,5611826.0,True,5426670
12,bur26a,MIQP,0.00191,6147379.0,True,5426670
13,bur26a,MIQP,4.32865,5957718.0,True,5426670
14,bur26a,MIQP,4.33115,5737427.0,True,5426670
15,bur26a,MIQP,4.33329,5735449.0,True,5426670
16,bur26a,MIQP,4.33552,5728600.0,True,5426670
17,bur26a,MIQP,4.46593,5648700.0,True,5426670
18,bur26a,MIQP,10.17449,5648681.0,True,5426670
19,bur26a,MIQP,10.17636,5641982.0,True,5426670
20,bur26a,MIQP,10.17804,5632777.0,True,5426670
21,bur26a,MIQP,10.17972,5545806.0,True,5426670
22,bur26a,MIQP,10.18173,5533878.0,True,5426670
23,bur26a,MIQP,12.11677,5528569.0,True,5426670
24,bur26a,MIQP,14.12883,5528569.0,True,5426670
25,bur26a,QUBO,0.00342,61533952.0,False,5426670
26,bur26a,QUBO,0.77426,5897599.0,True,5426670
27,bur26a,QUBO,0.79764,5599040.0,True,5426670
28,bur26a,QUBO,2.58549,5556103.0,True,5426670
29,bur26a,QUBO,8.90357,5533873.0,True,5426670
30,bur26a,QUBO,8.9538,5532748.0,True,5426670
31,bur26a,QUBO,9.8483,5529343.0,True,5426670
32,bur26a,QUBO,9.9063,5514267.0,True,5426670
33,bur26a,QUBO,9.95943,5500764.0,True,5426670
34,bur26a,QUBO,14.24913,5500764.0,True,5426670
